theropithecus_gelada ENSTGEG00000026260
papio_anubis ENSPANG00000035862
cercocebus_atys ENSCATG00000042318
macaca_nemestrina ENSMNEG00000035778
macaca_fascicularis ENSMFAG00000039556
mandrillus_leucophaeus ENSMLEG00000037101
rhinopithecus_roxellana ENSRROG00000010995
rhinopithecus_bieti ENSRBIG00000035179
piliocolobus_tephrosceles ENSPTEG00000031784
colobus_angolensis_palliatus ENSCANG00000001809
homo_sapiens ENSG00000205923
gorilla_gorilla ENSGGOG00000037944
nomascus_leucogenys ENSNLEG00000009436
macaca_mulatta ENSMMUG00000041036
tursiops_truncatus ENSTTRG00000008233
