scophthalmus_maximus ENSSMAG00000001303
cynoglossus_semilaevis ENSCSEG00000015855
mastacembelus_armatus ENSMAMG00000009859
monopterus_albus ENSMALG00000001359
anabas_testudineus ENSATEG00000010169
seriola_dumerili ENSSDUG00000018773
seriola_lalandi_dorsalis ENSSLDG00000023976
xiphophorus_couchianus ENSXCOG00000005861
xiphophorus_maculatus ENSXMAG00000018848
poecilia_mexicana ENSPMEG00000011866
poecilia_latipinna ENSPLAG00000023257
poecilia_formosa ENSPFOG00000005945
poecilia_reticulata ENSPREG00000000092
gambusia_affinis ENSGAFG00000013755
fundulus_heteroclitus ENSFHEG00000015926
cyprinodon_variegatus ENSCVAG00000013065
cyprinodon_variegatus ENSCVAG00000013057
oryzias_latipes_asm223469v1 ENSORLG00015013869
oryzias_latipes_asm223467v1 ENSORLG00000008162
oryzias_latipes_asm223471v1 ENSORLG00020014173
oryzias_melastigma ENSOMEG00000002295
astatotilapia_calliptera ENSACLG00000027261
maylandia_zebra ENSMZEG00005007276
pundamilia_nyererei ENSPNYG00000013420
haplochromis_burtoni ENSHBUG00000000623
neolamprologus_brichardi ENSNBRG00000006904
oreochromis_niloticus ENSONIG00000010170
amphilophus_citrinellus ENSACIG00000022443
amphiprion_ocellaris ENSAOCG00000015524
amphiprion_percula ENSAPEG00000002285
acanthochromis_polyacanthus ENSAPOG00000012228
stegastes_partitus ENSSPAG00000019998
labrus_bergylta ENSLBEG00000003081
labrus_bergylta ENSLBEG00000003455
mola_mola ENSMMOG00000003996
takifugu_rubripes ENSTRUG00000004594
tetraodon_nigroviridis ENSTNIG00000007124
periophthalmus_magnuspinnatus ENSPMGG00000005941
periophthalmus_magnuspinnatus ENSPMGG00000005940
hippocampus_comes ENSHCOG00000007076
esox_lucius ENSELUG00000021251
astyanax_mexicanus ENSAMXG00000035703
ictalurus_punctatus ENSIPUG00000001195
danio_rerio ENSDARG00000062132
paramormyrops_kingsleyae ENSPKIG00000024082
pygocentrus_nattereri ENSPNAG00000023760
astyanax_mexicanus ENSAMXG00000006024
ictalurus_punctatus ENSIPUG00000021232
danio_rerio ENSDARG00000061585
esox_lucius ENSELUG00000011780
scleropages_formosus ENSSFOG00015013275
paramormyrops_kingsleyae ENSPKIG00000018181
scleropages_formosus ENSSFOG00015020913
gadus_morhua ENSGMOG00000015493
lepisosteus_oculatus ENSLOCG00000013836
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031640
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079057
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032132
mus_spicilegus ENSMSIG00000027145
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031018
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021486
rattus_norvegicus ENSRNOG00000042426
meriones_unguiculatus ENSMUGG00000005150
cricetulus_griseus_crigri-picr ENSCGRG00015022679
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013032
mesocricetus_auratus ENSMAUG00000019502
peromyscus_maniculatus_bairdii ENSPEMG00000013910
microtus_ochrogaster ENSMOCG00000019157
nannospalax_galili ENSNGAG00000019723
jaculus_jaculus ENSJJAG00000016419
castor_canadensis ENSCCNG00000030389
dipodomys_ordii ENSDORG00000004653
spermophilus_dauricus ENSSDAG00000002052
marmota_marmota_marmota ENSMMMG00000010596
ictidomys_tridecemlineatus ENSSTOG00000020919
urocitellus_parryii ENSUPAG00010006518
cavia_aperea ENSCAPG00000000041
cavia_porcellus ENSCPOG00000012271
chinchilla_lanigera ENSCLAG00000016518
octodon_degus ENSODEG00000005274
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016252
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005869
fukomys_damarensis ENSFDAG00000019353
oryctolagus_cuniculus ENSOCUG00000011300
ochotona_princeps ENSOPRG00000005158
cebus_capucinus_imitator ENSCCAG00000032946
saimiri_boliviensis_boliviensis ENSSBOG00000004365
callithrix_jacchus ENSCJAG00000020265
aotus_nancymaae ENSANAG00000030990
pan_paniscus ENSPPAG00000026990
pan_troglodytes ENSPTRG00000016660
gorilla_gorilla ENSGGOG00000002024
homo_sapiens ENSG00000145476
nomascus_leucogenys ENSNLEG00000018705
rhinopithecus_roxellana ENSRROG00000041772
rhinopithecus_bieti ENSRBIG00000042605
colobus_angolensis_palliatus ENSCANG00000033760
piliocolobus_tephrosceles ENSPTEG00000015322
theropithecus_gelada ENSTGEG00000024915
cercocebus_atys ENSCATG00000030253
papio_anubis ENSPANG00000011830
mandrillus_leucophaeus ENSMLEG00000039245
chlorocebus_sabaeus ENSCSAG00000002935
macaca_mulatta ENSMMUG00000011632
macaca_fascicularis ENSMFAG00000040590
macaca_nemestrina ENSMNEG00000045181
aotus_nancymaae ENSANAG00000033858
nomascus_leucogenys ENSNLEG00000011507
carlito_syrichta ENSTSYG00000010618
propithecus_coquereli ENSPCOG00000024754
prolemur_simus ENSPSMG00000010599
microcebus_murinus ENSMICG00000002068
otolemur_garnettii ENSOGAG00000002015
