cebus_capucinus_imitator ENSCCAG00000031530
saimiri_boliviensis_boliviensis ENSSBOG00000026381
aotus_nancymaae ENSANAG00000037474
pan_paniscus ENSPPAG00000038947
pan_troglodytes ENSPTRG00000045790
nomascus_leucogenys ENSNLEG00000029442
macaca_nemestrina ENSMNEG00000025350
macaca_fascicularis ENSMFAG00000006551
mandrillus_leucophaeus ENSMLEG00000023827
cercocebus_atys ENSCATG00000016174
papio_anubis ENSPANG00000034169
theropithecus_gelada ENSTGEG00000016256
rhinopithecus_bieti ENSRBIG00000027754
rhinopithecus_roxellana ENSRROG00000041304
colobus_angolensis_palliatus ENSCANG00000033894
