ictalurus_punctatus ENSIPUG00000021260
astyanax_mexicanus ENSAMXG00000012421
danio_rerio ENSDARG00000113009
poecilia_latipinna ENSPLAG00000015069
poecilia_reticulata ENSPREG00000017905
xiphophorus_couchianus ENSXCOG00000008340
oryzias_latipes_asm223469v1 ENSORLG00015001590
neolamprologus_brichardi ENSNBRG00000006001
pundamilia_nyererei ENSPNYG00000012977
amphiprion_ocellaris ENSAOCG00000014537
seriola_lalandi_dorsalis ENSSLDG00000012766
seriola_lalandi_dorsalis ENSSLDG00000010049
seriola_dumerili ENSSDUG00000019881
periophthalmus_magnuspinnatus ENSPMGG00000022297
hippocampus_comes ENSHCOG00000012809
mastacembelus_armatus ENSMAMG00000012938
mola_mola ENSMMOG00000005966
anabas_testudineus ENSATEG00000010333
cavia_aperea ENSCAPG00000015280
canis_lupus_dingo ENSCAFG00020008023
