cercocebus_atys ENSCATG00000043706
piliocolobus_tephrosceles ENSPTEG00000019773
propithecus_coquereli ENSPCOG00000028276
meriones_unguiculatus ENSMUGG00000003099
mus_spicilegus ENSMSIG00000027314
microtus_ochrogaster ENSMOCG00000003629
nannospalax_galili ENSNGAG00000002595
cavia_aperea ENSCAPG00000001915
canis_lupus_dingo ENSCAFG00020008536
vulpes_vulpes ENSVVUG00000001369
mola_mola ENSMMOG00000021216
amphiprion_percula ENSAPEG00000011510
cynoglossus_semilaevis ENSCSEG00000012146
cynoglossus_semilaevis ENSCSEG00000007234
seriola_lalandi_dorsalis ENSSLDG00000004581
petromyzon_marinus ENSPMAG00000006732
