prolemur_simus ENSPSMG00000000257
microcebus_murinus ENSMICG00000034330
macaca_mulatta ENSMMUG00000037902
macaca_fascicularis ENSMFAG00000017265
macaca_nemestrina ENSMNEG00000028223
theropithecus_gelada ENSTGEG00000013160
chlorocebus_sabaeus ENSCSAG00000000363
piliocolobus_tephrosceles ENSPTEG00000018941
pan_troglodytes ENSPTRG00000048173
pan_paniscus ENSPPAG00000032549
homo_sapiens ENSG00000184140
callithrix_jacchus ENSCJAG00000019819
mus_spicilegus ENSMSIG00000020470
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024994
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000108827
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024079
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025520
rattus_norvegicus ENSRNOG00000047060
meriones_unguiculatus ENSMUGG00000026438
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018929
cricetulus_griseus_crigri-picr ENSCGRG00015007498
mesocricetus_auratus ENSMAUG00000010650
microtus_ochrogaster ENSMOCG00000022732
microtus_ochrogaster ENSMOCG00000001260
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011273
cricetulus_griseus_crigri_1.0 ENSCGRG00000019717
cricetulus_griseus_crigri-picr ENSCGRG00015007508
rattus_norvegicus ENSRNOG00000059337
nannospalax_galili ENSNGAG00000002278
nannospalax_galili ENSNGAG00000018653
cavia_porcellus ENSCPOG00000037540
ictidomys_tridecemlineatus ENSSTOG00000032099
spermophilus_dauricus ENSSDAG00000010195
urocitellus_parryii ENSUPAG00010009593
marmota_marmota_marmota ENSMMMG00000000470
marmota_marmota_marmota ENSMMMG00000000459
castor_canadensis ENSCCNG00000006048
erinaceus_europaeus ENSEEUG00000005534
sorex_araneus ENSSARG00000004924
sus_scrofa ENSSSCG00000031126
sus_scrofa ENSSSCG00000034532
sus_scrofa ENSSSCG00000032779
sus_scrofa ENSSSCG00000034687
vicugna_pacos ENSVPAG00000005962
equus_asinus_asinus ENSEASG00005017310
equus_asinus_asinus ENSEASG00005017322
equus_caballus ENSECAG00000029534
equus_asinus_asinus ENSEASG00005017410
pteropus_vampyrus ENSPVAG00000003833
ailuropoda_melanoleuca ENSAMEG00000020047
ursus_maritimus ENSUMAG00000016957
neovison_vison ENSNVIG00000004330
mustela_putorius_furo ENSMPUG00000007953
loxodonta_africana ENSLAFG00000007700
procavia_capensis ENSPCAG00000001500
echinops_telfairi ENSETEG00000007586
ochotona_princeps ENSOPRG00000002055
choloepus_hoffmanni ENSCHOG00000008093
bison_bison_bison ENSBBBG00000001588
monodelphis_domestica ENSMODG00000024525
phascolarctos_cinereus ENSPCIG00000031087
sarcophilus_harrisii ENSSHAG00000000794
