periophthalmus_magnuspinnatus ENSPMGG00000024105
cynoglossus_semilaevis ENSCSEG00000000778
takifugu_rubripes ENSTRUG00000005527
tetraodon_nigroviridis ENSTNIG00000012097
gasterosteus_aculeatus ENSGACG00000012467
fundulus_heteroclitus ENSFHEG00000020952
poecilia_reticulata ENSPREG00000006699
fundulus_heteroclitus ENSFHEG00000006416
labrus_bergylta ENSLBEG00000007476
mola_mola ENSMMOG00000018435
mastacembelus_armatus ENSMAMG00000008537
monopterus_albus ENSMALG00000010786
anabas_testudineus ENSATEG00000008365
seriola_lalandi_dorsalis ENSSLDG00000021257
seriola_dumerili ENSSDUG00000010986
scophthalmus_maximus ENSSMAG00000002739
amphiprion_ocellaris ENSAOCG00000009423
amphiprion_percula ENSAPEG00000004304
acanthochromis_polyacanthus ENSAPOG00000024185
stegastes_partitus ENSSPAG00000017677
astatotilapia_calliptera ENSACLG00000001090
maylandia_zebra ENSMZEG00005007916
pundamilia_nyererei ENSPNYG00000012349
haplochromis_burtoni ENSHBUG00000010607
neolamprologus_brichardi ENSNBRG00000010998
oreochromis_niloticus ENSONIG00000016355
amphilophus_citrinellus ENSACIG00000005395
poecilia_latipinna ENSPLAG00000000147
poecilia_mexicana ENSPMEG00000001833
poecilia_formosa ENSPFOG00000005372
gambusia_affinis ENSGAFG00000009885
xiphophorus_couchianus ENSXCOG00000007689
xiphophorus_maculatus ENSXMAG00000013303
poecilia_reticulata ENSPREG00000016043
cyprinodon_variegatus ENSCVAG00000018268
kryptolebias_marmoratus ENSKMAG00000019661
oryzias_latipes_asm223471v1 ENSORLG00020000496
oryzias_latipes_asm223467v1 ENSORLG00000015046
oryzias_latipes_asm223469v1 ENSORLG00015003068
oryzias_melastigma ENSOMEG00000020696
hippocampus_comes ENSHCOG00000005620
gadus_morhua ENSGMOG00000019443
esox_lucius ENSELUG00000016609
pygocentrus_nattereri ENSPNAG00000029662
astyanax_mexicanus ENSAMXG00000017059
ictalurus_punctatus ENSIPUG00000023269
danio_rerio ENSDARG00000022176
paramormyrops_kingsleyae ENSPKIG00000000081
scleropages_formosus ENSSFOG00015000317
lepisosteus_oculatus ENSLOCG00000005297
sphenodon_punctatus ENSSPUG00000016337
sphenodon_punctatus ENSSPUG00000016190
anolis_carolinensis ENSACAG00000010459
pogona_vitticeps ENSPVIG00000006293
notechis_scutatus ENSNSUG00000001752
salvator_merianae ENSSMRG00000005332
gopherus_agassizii ENSGAGG00000015541
chelonoidis_abingdonii ENSCABG00000000677
chrysemys_picta_bellii ENSCPBG00000019377
pelodiscus_sinensis ENSPSIG00000003385
phascolarctos_cinereus ENSPCIG00000009566
notamacropus_eugenii ENSMEUG00000010466
monodelphis_domestica ENSMODG00000020821
pan_troglodytes ENSPTRG00000011377
pan_paniscus ENSPPAG00000043534
gorilla_gorilla ENSGGOG00000011245
homo_sapiens ENSG00000142549
pongo_abelii ENSPPYG00000010315
pan_paniscus ENSPPAG00000036473
