heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011331
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017340
fukomys_damarensis ENSFDAG00000008912
chinchilla_lanigera ENSCLAG00000014153
octodon_degus ENSODEG00000013714
cavia_porcellus ENSCPOG00000026702
urocitellus_parryii ENSUPAG00010021743
ictidomys_tridecemlineatus ENSSTOG00000003781
spermophilus_dauricus ENSSDAG00000017147
marmota_marmota_marmota ENSMMMG00000014413
castor_canadensis ENSCCNG00000023033
dipodomys_ordii ENSDORG00000010829
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027604
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078521
mus_spicilegus ENSMSIG00000002831
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026624
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028957
rattus_norvegicus ENSRNOG00000022030
meriones_unguiculatus ENSMUGG00000019791
cricetulus_griseus_crigri_1.0 ENSCGRG00000017945
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017106
cricetulus_griseus_crigri-picr ENSCGRG00015018407
mesocricetus_auratus ENSMAUG00000015763
microtus_ochrogaster ENSMOCG00000013289
peromyscus_maniculatus_bairdii ENSPEMG00000020908
nannospalax_galili ENSNGAG00000012383
ochotona_princeps ENSOPRG00000001340
theropithecus_gelada ENSTGEG00000006118
papio_anubis ENSPANG00000008189
cercocebus_atys ENSCATG00000019786
mandrillus_leucophaeus ENSMLEG00000012674
chlorocebus_sabaeus ENSCSAG00000000959
macaca_nemestrina ENSMNEG00000029426
macaca_mulatta ENSMMUG00000007856
macaca_fascicularis ENSMFAG00000041647
rhinopithecus_bieti ENSRBIG00000042883
pongo_abelii ENSPPYG00000001703
homo_sapiens ENSG00000127423
gorilla_gorilla ENSGGOG00000022255
pan_paniscus ENSPPAG00000031994
pan_troglodytes ENSPTRG00000040706
nomascus_leucogenys ENSNLEG00000009148
piliocolobus_tephrosceles ENSPTEG00000016540
colobus_angolensis_palliatus ENSCANG00000001892
rhinopithecus_roxellana ENSRROG00000040327
saimiri_boliviensis_boliviensis ENSSBOG00000032673
cebus_capucinus_imitator ENSCCAG00000030698
callithrix_jacchus ENSCJAG00000009447
aotus_nancymaae ENSANAG00000025750
carlito_syrichta ENSTSYG00000010522
prolemur_simus ENSPSMG00000012224
propithecus_coquereli ENSPCOG00000028669
microcebus_murinus ENSMICG00000028919
otolemur_garnettii ENSOGAG00000034108
tupaia_belangeri ENSTBEG00000011043
pteropus_vampyrus ENSPVAG00000006341
myotis_lucifugus ENSMLUG00000013548
capra_hircus ENSCHIG00000014935
ovis_aries ENSOARG00000005794
bison_bison_bison ENSBBBG00000003252
bos_mutus ENSBMUG00000015975
bos_taurus ENSBTAG00000021786
tursiops_truncatus ENSTTRG00000012485
sus_scrofa ENSSSCG00000003552
vicugna_pacos ENSVPAG00000004313
equus_asinus_asinus ENSEASG00005004165
equus_caballus ENSECAG00000007562
ursus_americanus ENSUAMG00000025717
ursus_maritimus ENSUMAG00000012816
ailuropoda_melanoleuca ENSAMEG00000010293
neovison_vison ENSNVIG00000023565
mustela_putorius_furo ENSMPUG00000015775
canis_lupus_familiaris ENSCAFG00000012751
canis_lupus_dingo ENSCAFG00020021184
vulpes_vulpes ENSVVUG00000011600
panthera_tigris_altaica ENSPTIG00000021670
panthera_pardus ENSPPRG00000017004
felis_catus ENSFCAG00000012795
erinaceus_europaeus ENSEEUG00000003346
sorex_araneus ENSSARG00000011043
loxodonta_africana ENSLAFG00000022386
procavia_capensis ENSPCAG00000013930
echinops_telfairi ENSETEG00000019274
choloepus_hoffmanni ENSCHOG00000004411
dasypus_novemcinctus ENSDNOG00000044053
notamacropus_eugenii ENSMEUG00000016185
phascolarctos_cinereus ENSPCIG00000025580
monodelphis_domestica ENSMODG00000014020
