pundamilia_nyererei ENSPNYG00000004855
maylandia_zebra ENSMZEG00005006283
acanthochromis_polyacanthus ENSAPOG00000007577
poecilia_mexicana ENSPMEG00000021782
poecilia_latipinna ENSPLAG00000018404
xiphophorus_maculatus ENSXMAG00000028280
cyprinodon_variegatus ENSCVAG00000015672
periophthalmus_magnuspinnatus ENSPMGG00000022397
oryzias_latipes_asm223471v1 ENSORLG00020005503
oryzias_latipes_asm223467v1 ENSORLG00000022407
seriola_lalandi_dorsalis ENSSLDG00000001192
seriola_dumerili ENSSDUG00000012785
pygocentrus_nattereri ENSPNAG00000029148
astyanax_mexicanus ENSAMXG00000040555
paramormyrops_kingsleyae ENSPKIG00000021617
cavia_porcellus ENSCPOG00000025148
mesocricetus_auratus ENSMAUG00000017460
