saimiri_boliviensis_boliviensis ENSSBOG00000026214
callithrix_jacchus ENSCJAG00000004206
aotus_nancymaae ENSANAG00000022612
pan_paniscus ENSPPAG00000014223
pan_troglodytes ENSPTRG00000045074
gorilla_gorilla ENSGGOG00000024793
nomascus_leucogenys ENSNLEG00000030263
rhinopithecus_bieti ENSRBIG00000041385
rhinopithecus_roxellana ENSRROG00000004985
colobus_angolensis_palliatus ENSCANG00000041803
macaca_fascicularis ENSMFAG00000042199
macaca_nemestrina ENSMNEG00000038971
cercocebus_atys ENSCATG00000039206
mandrillus_leucophaeus ENSMLEG00000030307
papio_anubis ENSPANG00000030777
carlito_syrichta ENSTSYG00000036605
microcebus_murinus ENSMICG00000044327
propithecus_coquereli ENSPCOG00000017078
panthera_tigris_altaica ENSPTIG00000021489
panthera_pardus ENSPPRG00000013777
