gopherus_agassizii ENSGAGG00000014316
chrysemys_picta_bellii ENSCPBG00000022937
pelodiscus_sinensis ENSPSIG00000002788
pogona_vitticeps ENSPVIG00000014095
salvator_merianae ENSSMRG00000016357
sphenodon_punctatus ENSSPUG00000006561
notechis_scutatus ENSNSUG00000014755
anas_platyrhynchos_platyrhynchos ENSAPLG00000026984
calidris_pygmaea ENSCPGG00000015531
crocodylus_porosus ENSCPRG00005015591
chelonoidis_abingdonii ENSCABG00000003815
ornithorhynchus_anatinus ENSOANG00000012282
anolis_carolinensis ENSACAG00000009405
taeniopygia_guttata ENSTGUG00000000878
serinus_canaria ENSSCAG00000006404
cyanistes_caeruleus ENSCCEG00000001876
lonchura_striata_domestica ENSLSDG00000011438
cyanistes_caeruleus ENSCCEG00000002074
lepidothrix_coronata ENSLCOG00000013366
numida_meleagris ENSNMEG00000003306
anser_brachyrhynchus ENSABRG00000000852
parus_major ENSPMJG00000011683
melopsittacus_undulatus ENSMUNG00000012833
gallus_gallus ENSGALG00000015203
gallus_gallus ENSGALG00000054445
coturnix_japonica ENSCJPG00005010669
meleagris_gallopavo ENSMGAG00000004031
calidris_pugnax ENSCPUG00000016381
latimeria_chalumnae ENSLACG00000011285
xenopus_tropicalis ENSXETG00000003272
poecilia_formosa ENSPFOG00000003659
poecilia_reticulata ENSPREG00000000894
poecilia_latipinna ENSPLAG00000007873
poecilia_mexicana ENSPMEG00000004024
gambusia_affinis ENSGAFG00000011571
xiphophorus_maculatus ENSXMAG00000013029
xiphophorus_couchianus ENSXCOG00000007158
cyprinodon_variegatus ENSCVAG00000022538
fundulus_heteroclitus ENSFHEG00000002584
tetraodon_nigroviridis ENSTNIG00000002433
seriola_dumerili ENSSDUG00000020841
anabas_testudineus ENSATEG00000005652
monopterus_albus ENSMALG00000020560
seriola_lalandi_dorsalis ENSSLDG00000013861
oryzias_latipes_asm223469v1 ENSORLG00015020741
oryzias_latipes_asm223471v1 ENSORLG00020001500
oryzias_latipes_asm223467v1 ENSORLG00000013945
oryzias_melastigma ENSOMEG00000001448
kryptolebias_marmoratus ENSKMAG00000007140
astatotilapia_calliptera ENSACLG00000002882
maylandia_zebra ENSMZEG00005003162
pundamilia_nyererei ENSPNYG00000001304
oreochromis_niloticus ENSONIG00000007301
neolamprologus_brichardi ENSNBRG00000017192
amphilophus_citrinellus ENSACIG00000012583
amphiprion_ocellaris ENSAOCG00000006163
amphiprion_percula ENSAPEG00000000787
acanthochromis_polyacanthus ENSAPOG00000012692
stegastes_partitus ENSSPAG00000013608
mola_mola ENSMMOG00000007726
cynoglossus_semilaevis ENSCSEG00000000415
periophthalmus_magnuspinnatus ENSPMGG00000022289
esox_lucius ENSELUG00000003154
pygocentrus_nattereri ENSPNAG00000006424
astyanax_mexicanus ENSAMXG00000018891
ictalurus_punctatus ENSIPUG00000015772
danio_rerio ENSDARG00000078504
scleropages_formosus ENSSFOG00015021761
paramormyrops_kingsleyae ENSPKIG00000003989
lepisosteus_oculatus ENSLOCG00000001661
ciona_savignyi ENSCSAVG00000001847
