mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025559
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017000
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024634
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026083
rattus_norvegicus ENSRNOG00000026346
rattus_norvegicus ENSRNOG00000052906
meriones_unguiculatus ENSMUGG00000020749
meriones_unguiculatus ENSMUGG00000026252
cricetulus_griseus_crigri_1.0 ENSCGRG00000008367
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015270
cricetulus_griseus_crigri-picr ENSCGRG00015022317
microtus_ochrogaster ENSMOCG00000022818
peromyscus_maniculatus_bairdii ENSPEMG00000000222
