labrus_bergylta ENSLBEG00000003575
monopterus_albus ENSMALG00000007358
oryzias_melastigma ENSOMEG00000014466
oryzias_melastigma ENSOMEG00000009474
esox_lucius ENSELUG00000007648
poecilia_reticulata ENSPREG00000016964
xiphophorus_couchianus ENSXCOG00000002061
fundulus_heteroclitus ENSFHEG00000015765
amphilophus_citrinellus ENSACIG00000007037
neolamprologus_brichardi ENSNBRG00000004135
takifugu_rubripes ENSTRUG00000021633
gasterosteus_aculeatus ENSGACG00000017733
gadus_morhua ENSGMOG00000002135
esox_lucius ENSELUG00000002401
meleagris_gallopavo ENSMGAG00000016983
eptatretus_burgeri ENSEBUG00000007062
