cricetulus_griseus_crigri-picr ENSCGRG00015004025
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013162
mesocricetus_auratus ENSMAUG00000013208
microtus_ochrogaster ENSMOCG00000000826
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019266
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090863
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018397
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019461
piliocolobus_tephrosceles ENSPTEG00000016576
ursus_americanus ENSUAMG00000027969
bos_taurus ENSBTAG00000051218
equus_caballus ENSECAG00000036713
