oryzias_latipes_asm223469v1 ENSORLG00015009118
oryzias_latipes_asm223467v1 ENSORLG00000023630
oryzias_melastigma ENSOMEG00000002606
kryptolebias_marmoratus ENSKMAG00000008320
haplochromis_burtoni ENSHBUG00000023734
pundamilia_nyererei ENSPNYG00000017852
astatotilapia_calliptera ENSACLG00000014446
maylandia_zebra ENSMZEG00005016399
neolamprologus_brichardi ENSNBRG00000020389
oreochromis_niloticus ENSONIG00000005434
amphilophus_citrinellus ENSACIG00000001113
mastacembelus_armatus ENSMAMG00000015745
anabas_testudineus ENSATEG00000015355
scophthalmus_maximus ENSSMAG00000014451
amphiprion_percula ENSAPEG00000002562
amphiprion_ocellaris ENSAOCG00000015722
acanthochromis_polyacanthus ENSAPOG00000001677
stegastes_partitus ENSSPAG00000002015
seriola_dumerili ENSSDUG00000010291
seriola_lalandi_dorsalis ENSSLDG00000020795
labrus_bergylta ENSLBEG00000025277
gasterosteus_aculeatus ENSGACG00000020423
takifugu_rubripes ENSTRUG00000025291
mola_mola ENSMMOG00000016480
poecilia_reticulata ENSPREG00000022784
poecilia_latipinna ENSPLAG00000015972
poecilia_formosa ENSPFOG00000008805
gambusia_affinis ENSGAFG00000004730
xiphophorus_maculatus ENSXMAG00000012186
xiphophorus_couchianus ENSXCOG00000006835
poecilia_mexicana ENSPMEG00000009253
cyprinodon_variegatus ENSCVAG00000021598
fundulus_heteroclitus ENSFHEG00000003204
oryzias_latipes_asm223471v1 ENSORLG00020003847
monopterus_albus ENSMALG00000017768
hippocampus_comes ENSHCOG00000004616
cynoglossus_semilaevis ENSCSEG00000014608
periophthalmus_magnuspinnatus ENSPMGG00000003186
gadus_morhua ENSGMOG00000005764
pygocentrus_nattereri ENSPNAG00000011928
astyanax_mexicanus ENSAMXG00000012322
ictalurus_punctatus ENSIPUG00000009703
danio_rerio ENSDARG00000095308
scleropages_formosus ENSSFOG00015007462
paramormyrops_kingsleyae ENSPKIG00000020905
