mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025578
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070529
mus_spicilegus ENSMSIG00000022262
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024658
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026100
rattus_norvegicus ENSRNOG00000026067
meriones_unguiculatus ENSMUGG00000021927
meriones_unguiculatus ENSMUGG00000021878
cricetulus_griseus_crigri_1.0 ENSCGRG00000018354
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008538
cricetulus_griseus_crigri-picr ENSCGRG00015021841
microtus_ochrogaster ENSMOCG00000004820
peromyscus_maniculatus_bairdii ENSPEMG00000021259
castor_canadensis ENSCCNG00000022962
theropithecus_gelada ENSTGEG00000019907
mandrillus_leucophaeus ENSMLEG00000034723
cercocebus_atys ENSCATG00000036754
papio_anubis ENSPANG00000030945
macaca_fascicularis ENSMFAG00000045953
macaca_nemestrina ENSMNEG00000030989
macaca_mulatta ENSMMUG00000003803
chlorocebus_sabaeus ENSCSAG00000014461
rhinopithecus_bieti ENSRBIG00000029259
rhinopithecus_roxellana ENSRROG00000036458
piliocolobus_tephrosceles ENSPTEG00000024163
colobus_angolensis_palliatus ENSCANG00000032540
pan_troglodytes ENSPTRG00000013555
gorilla_gorilla ENSGGOG00000012433
homo_sapiens ENSG00000180305
pongo_abelii ENSPPYG00000011064
nomascus_leucogenys ENSNLEG00000006753
cebus_capucinus_imitator ENSCCAG00000022325
saimiri_boliviensis_boliviensis ENSSBOG00000028019
callithrix_jacchus ENSCJAG00000046344
aotus_nancymaae ENSANAG00000026422
carlito_syrichta ENSTSYG00000011245
propithecus_coquereli ENSPCOG00000027690
microcebus_murinus ENSMICG00000013933
ursus_maritimus ENSUMAG00000025169
ursus_americanus ENSUAMG00000020599
neovison_vison ENSNVIG00000010378
vulpes_vulpes ENSVVUG00000016158
vulpes_vulpes ENSVVUG00000016161
canis_lupus_dingo ENSCAFG00020013964
canis_lupus_familiaris ENSCAFG00000030127
bos_taurus ENSBTAG00000030796
bos_mutus ENSBMUG00000004544
capra_hircus ENSCHIG00000024267
sus_scrofa ENSSSCG00000029121
loxodonta_africana ENSLAFG00000005284
dasypus_novemcinctus ENSDNOG00000039076
