ficedula_albicollis ENSFALG00000001259
serinus_canaria ENSSCAG00000012790
lonchura_striata_domestica ENSLSDG00000000309
parus_major ENSPMJG00000000711
cyanistes_caeruleus ENSCCEG00000005050
junco_hyemalis ENSJHYG00000001582
lepidothrix_coronata ENSLCOG00000007687
calidris_pygmaea ENSCPGG00000006441
anser_brachyrhynchus ENSABRG00000019510
apteryx_haastii ENSAHAG00000001262
apteryx_rowi ENSARWG00000007908
apteryx_owenii ENSAOWG00000017837
gallus_gallus ENSGALG00000050763
crocodylus_porosus ENSCPRG00005013781
gopherus_agassizii ENSGAGG00000009908
pogona_vitticeps ENSPVIG00000021697
salvator_merianae ENSSMRG00000006721
gorilla_gorilla ENSGGOG00000012847
homo_sapiens ENSG00000163346
pan_troglodytes ENSPTRG00000001394
pongo_abelii ENSPPYG00000000771
nomascus_leucogenys ENSNLEG00000011504
colobus_angolensis_palliatus ENSCANG00000041292
piliocolobus_tephrosceles ENSPTEG00000033928
rhinopithecus_bieti ENSRBIG00000038925
rhinopithecus_roxellana ENSRROG00000043067
macaca_fascicularis ENSMFAG00000039855
macaca_mulatta ENSMMUG00000006576
macaca_nemestrina ENSMNEG00000039092
cercocebus_atys ENSCATG00000038165
theropithecus_gelada ENSTGEG00000021677
papio_anubis ENSPANG00000005125
mandrillus_leucophaeus ENSMLEG00000032465
chlorocebus_sabaeus ENSCSAG00000001968
cebus_capucinus_imitator ENSCCAG00000021101
saimiri_boliviensis_boliviensis ENSSBOG00000022811
callithrix_jacchus ENSCJAG00000009346
aotus_nancymaae ENSANAG00000038107
carlito_syrichta ENSTSYG00000030750
propithecus_coquereli ENSPCOG00000025592
microcebus_murinus ENSMICG00000028704
prolemur_simus ENSPSMG00000022621
otolemur_garnettii ENSOGAG00000027875
tupaia_belangeri ENSTBEG00000009038
castor_canadensis ENSCCNG00000020370
dipodomys_ordii ENSDORG00000003761
mus_spicilegus ENSMSIG00000027031
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026155
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042613
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025212
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026656
rattus_norvegicus ENSRNOG00000020673
meriones_unguiculatus ENSMUGG00000014649
cricetulus_griseus_crigri-picr ENSCGRG00015003910
cricetulus_griseus_crigri_1.0 ENSCGRG00000003074
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021803
mesocricetus_auratus ENSMAUG00000008503
microtus_ochrogaster ENSMOCG00000014289
peromyscus_maniculatus_bairdii ENSPEMG00000008556
nannospalax_galili ENSNGAG00000001561
jaculus_jaculus ENSJJAG00000011330
urocitellus_parryii ENSUPAG00010001559
ictidomys_tridecemlineatus ENSSTOG00000026941
marmota_marmota_marmota ENSMMMG00000017093
chinchilla_lanigera ENSCLAG00000004914
octodon_degus ENSODEG00000011532
cavia_porcellus ENSCPOG00000005112
cavia_aperea ENSCAPG00000011566
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009132
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008141
fukomys_damarensis ENSFDAG00000007387
oryctolagus_cuniculus ENSOCUG00000016170
ochotona_princeps ENSOPRG00000000341
bos_mutus ENSBMUG00000011146
bos_taurus ENSBTAG00000004552
bison_bison_bison ENSBBBG00000014024
capra_hircus ENSCHIG00000012689
ovis_aries ENSOARG00000003126
tursiops_truncatus ENSTTRG00000016178
sus_scrofa ENSSSCG00000006540
equus_caballus ENSECAG00000026849
equus_asinus_asinus ENSEASG00005000264
myotis_lucifugus ENSMLUG00000002380
pteropus_vampyrus ENSPVAG00000000805
sorex_araneus ENSSARG00000013859
erinaceus_europaeus ENSEEUG00000014272
ursus_americanus ENSUAMG00000014340
ailuropoda_melanoleuca ENSAMEG00000011551
neovison_vison ENSNVIG00000018377
mustela_putorius_furo ENSMPUG00000006338
canis_lupus_dingo ENSCAFG00020008160
canis_lupus_familiaris ENSCAFG00000017162
vulpes_vulpes ENSVVUG00000001899
loxodonta_africana ENSLAFG00000031125
procavia_capensis ENSPCAG00000014387
echinops_telfairi ENSETEG00000014118
dasypus_novemcinctus ENSDNOG00000043652
phascolarctos_cinereus ENSPCIG00000021734
notamacropus_eugenii ENSMEUG00000006668
monodelphis_domestica ENSMODG00000017146
sarcophilus_harrisii ENSSHAG00000004099
