octodon_degus ENSODEG00000020379
chinchilla_lanigera ENSCLAG00000015918
cavia_porcellus ENSCPOG00000006749
fukomys_damarensis ENSFDAG00000003433
dipodomys_ordii ENSDORG00000029416
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075069
mus_spicilegus ENSMSIG00000000772
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024843
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023932
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025369
rattus_norvegicus ENSRNOG00000006771
meriones_unguiculatus ENSMUGG00000003712
cricetulus_griseus_crigri_1.0 ENSCGRG00000019963
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010862
cricetulus_griseus_crigri-picr ENSCGRG00015022658
mesocricetus_auratus ENSMAUG00000010858
peromyscus_maniculatus_bairdii ENSPEMG00000029259
peromyscus_maniculatus_bairdii ENSPEMG00000027691
microtus_ochrogaster ENSMOCG00000001763
nannospalax_galili ENSNGAG00000015670
nannospalax_galili ENSNGAG00000017634
ovis_aries ENSOARG00000008390
dasypus_novemcinctus ENSDNOG00000047156
bison_bison_bison ENSBBBG00000012133
bos_taurus ENSBTAG00000012549
bos_mutus ENSBMUG00000012925
capra_hircus ENSCHIG00000007495
sus_scrofa ENSSSCG00000037180
sus_scrofa ENSSSCG00000039282
ursus_maritimus ENSUMAG00000008644
ailuropoda_melanoleuca ENSAMEG00000015279
canis_lupus_dingo ENSCAFG00020025747
vulpes_vulpes ENSVVUG00000002723
neovison_vison ENSNVIG00000008745
mustela_putorius_furo ENSMPUG00000003589
felis_catus ENSFCAG00000009669
equus_caballus ENSECAG00000006727
equus_asinus_asinus ENSEASG00005011733
myotis_lucifugus ENSMLUG00000000417
oryctolagus_cuniculus ENSOCUG00000009565
ochotona_princeps ENSOPRG00000009790
urocitellus_parryii ENSUPAG00010021193
spermophilus_dauricus ENSSDAG00000001435
marmota_marmota_marmota ENSMMMG00000016636
pan_paniscus ENSPPAG00000044027
pan_troglodytes ENSPTRG00000049961
homo_sapiens ENSG00000176547
gorilla_gorilla ENSGGOG00000009949
pongo_abelii ENSPPYG00000003290
pan_troglodytes ENSPTRG00000043992
pan_paniscus ENSPPAG00000042767
saimiri_boliviensis_boliviensis ENSSBOG00000032513
cebus_capucinus_imitator ENSCCAG00000029781
callithrix_jacchus ENSCJAG00000009228
aotus_nancymaae ENSANAG00000006729
prolemur_simus ENSPSMG00000022502
otolemur_garnettii ENSOGAG00000012963
dasypus_novemcinctus ENSDNOG00000038506
loxodonta_africana ENSLAFG00000031341
sorex_araneus ENSSARG00000000087
monodelphis_domestica ENSMODG00000019966
sarcophilus_harrisii ENSSHAG00000005405
phascolarctos_cinereus ENSPCIG00000032634
