peromyscus_maniculatus_bairdii ENSPEMG00000009278
ursus_americanus ENSUAMG00000008985
latimeria_chalumnae ENSLACG00000008536
oryzias_melastigma ENSOMEG00000004867
hippocampus_comes ENSHCOG00000010481
periophthalmus_magnuspinnatus ENSPMGG00000001826
takifugu_rubripes ENSTRUG00000023450
seriola_lalandi_dorsalis ENSSLDG00000022254
astyanax_mexicanus ENSAMXG00000035412
ursus_maritimus ENSUMAG00000007336
ursus_americanus ENSUAMG00000025302
ailuropoda_melanoleuca ENSAMEG00000013696
mustela_putorius_furo ENSMPUG00000002277
neovison_vison ENSNVIG00000016486
canis_lupus_familiaris ENSCAFG00000008627
canis_lupus_dingo ENSCAFG00020017044
vulpes_vulpes ENSVVUG00000015271
panthera_pardus ENSPPRG00000005272
panthera_tigris_altaica ENSPTIG00000011755
felis_catus ENSFCAG00000035528
bison_bison_bison ENSBBBG00000015801
pteropus_vampyrus ENSPVAG00000013186
erinaceus_europaeus ENSEEUG00000007788
nomascus_leucogenys ENSNLEG00000000554
macaca_mulatta ENSMMUG00000038552
octodon_degus ENSODEG00000012065
monodelphis_domestica ENSMODG00000012199
ornithorhynchus_anatinus ENSOANG00000004798
apteryx_owenii ENSAOWG00000018927
apteryx_haastii ENSAHAG00000018037
apteryx_rowi ENSARWG00000011730
dromaius_novaehollandiae ENSDNVG00000015144
nothoprocta_perdicaria ENSNPEG00000005007
lonchura_striata_domestica ENSLSDG00000004935
taeniopygia_guttata ENSTGUG00000006542
serinus_canaria ENSSCAG00000008629
parus_major ENSPMJG00000004643
cyanistes_caeruleus ENSCCEG00000007045
ficedula_albicollis ENSFALG00000008995
junco_hyemalis ENSJHYG00000010498
zonotrichia_albicollis ENSZALG00000002795
manacus_vitellinus ENSMVIG00005017316
lepidothrix_coronata ENSLCOG00000010642
melopsittacus_undulatus ENSMUNG00000015979
calidris_pugnax ENSCPUG00000006862
calidris_pygmaea ENSCPGG00000018653
coturnix_japonica ENSCJPG00005000235
meleagris_gallopavo ENSMGAG00000005343
numida_meleagris ENSNMEG00000020199
anser_brachyrhynchus ENSABRG00000018213
anas_platyrhynchos_platyrhynchos ENSAPLG00000008641
pygocentrus_nattereri ENSPNAG00000019984
astyanax_mexicanus ENSAMXG00000013214
esox_lucius ENSELUG00000021898
ciona_savignyi ENSCSAVG00000009847
