hippocampus_comes ENSHCOG00000003517
cynoglossus_semilaevis ENSCSEG00000017305
takifugu_rubripes ENSTRUG00000008807
tetraodon_nigroviridis ENSTNIG00000009123
periophthalmus_magnuspinnatus ENSPMGG00000006852
seriola_dumerili ENSSDUG00000016767
seriola_lalandi_dorsalis ENSSLDG00000016148
scophthalmus_maximus ENSSMAG00000020344
anabas_testudineus ENSATEG00000017525
mastacembelus_armatus ENSMAMG00000009849
mola_mola ENSMMOG00000021346
labrus_bergylta ENSLBEG00000023000
amphiprion_ocellaris ENSAOCG00000006581
amphiprion_percula ENSAPEG00000008757
acanthochromis_polyacanthus ENSAPOG00000012820
stegastes_partitus ENSSPAG00000004114
amphilophus_citrinellus ENSACIG00000019124
amphilophus_citrinellus ENSACIG00000019139
astatotilapia_calliptera ENSACLG00000018638
pundamilia_nyererei ENSPNYG00000011361
maylandia_zebra ENSMZEG00005018082
haplochromis_burtoni ENSHBUG00000021939
neolamprologus_brichardi ENSNBRG00000000668
oreochromis_niloticus ENSONIG00000003622
xiphophorus_maculatus ENSXMAG00000007581
xiphophorus_couchianus ENSXCOG00000004653
gambusia_affinis ENSGAFG00000008044
poecilia_formosa ENSPFOG00000019724
poecilia_latipinna ENSPLAG00000001088
poecilia_mexicana ENSPMEG00000016217
poecilia_reticulata ENSPREG00000010193
fundulus_heteroclitus ENSFHEG00000023084
cyprinodon_variegatus ENSCVAG00000006808
kryptolebias_marmoratus ENSKMAG00000009848
oryzias_latipes_asm223467v1 ENSORLG00000009619
oryzias_latipes_asm223469v1 ENSORLG00015002379
oryzias_latipes_asm223471v1 ENSORLG00020014843
oryzias_melastigma ENSOMEG00000015516
oryzias_melastigma ENSOMEG00000001702
gadus_morhua ENSGMOG00000015922
esox_lucius ENSELUG00000019023
pygocentrus_nattereri ENSPNAG00000001370
astyanax_mexicanus ENSAMXG00000041300
ictalurus_punctatus ENSIPUG00000022796
danio_rerio ENSDARG00000062873
paramormyrops_kingsleyae ENSPKIG00000022531
scleropages_formosus ENSSFOG00015016375
lepisosteus_oculatus ENSLOCG00000006758
