mandrillus_leucophaeus ENSMLEG00000030860
cercocebus_atys ENSCATG00000038580
macaca_nemestrina ENSMNEG00000044970
macaca_fascicularis ENSMFAG00000042734
papio_anubis ENSPANG00000030628
macaca_mulatta ENSMMUG00000042717
chlorocebus_sabaeus ENSCSAG00000016281
homo_sapiens ENSG00000173535
gorilla_gorilla ENSGGOG00000037003
pan_paniscus ENSPPAG00000029426
pan_troglodytes ENSPTRG00000020072
rhinopithecus_bieti ENSRBIG00000006848
rhinopithecus_roxellana ENSRROG00000036141
colobus_angolensis_palliatus ENSCANG00000028400
pongo_abelii ENSPPYG00000018432
