pan_paniscus ENSPPAG00000033018
pan_troglodytes ENSPTRG00000051491
pan_troglodytes ENSPTRG00000019834
homo_sapiens ENSG00000170279
gorilla_gorilla ENSGGOG00000040188
pongo_abelii ENSPPYG00000018145
nomascus_leucogenys ENSNLEG00000036107
cercocebus_atys ENSCATG00000037017
papio_anubis ENSPANG00000007102
mandrillus_leucophaeus ENSMLEG00000039098
theropithecus_gelada ENSTGEG00000001821
macaca_fascicularis ENSMFAG00000042562
macaca_nemestrina ENSMNEG00000039916
macaca_mulatta ENSMMUG00000046165
piliocolobus_tephrosceles ENSPTEG00000031116
colobus_angolensis_palliatus ENSCANG00000031510
rhinopithecus_roxellana ENSRROG00000036563
rhinopithecus_bieti ENSRBIG00000029766
callithrix_jacchus ENSCJAG00000009992
cebus_capucinus_imitator ENSCCAG00000015029
aotus_nancymaae ENSANAG00000025953
choloepus_hoffmanni ENSCHOG00000013108
