xiphophorus_maculatus ENSXMAG00000007597
xiphophorus_couchianus ENSXCOG00000006479
gambusia_affinis ENSGAFG00000001845
poecilia_mexicana ENSPMEG00000010428
poecilia_formosa ENSPFOG00000007396
poecilia_latipinna ENSPLAG00000020269
poecilia_reticulata ENSPREG00000003379
fundulus_heteroclitus ENSFHEG00000021027
cyprinodon_variegatus ENSCVAG00000002106
kryptolebias_marmoratus ENSKMAG00000015693
oryzias_latipes_asm223471v1 ENSORLG00020004857
oryzias_latipes_asm223467v1 ENSORLG00000000633
oryzias_latipes_asm223469v1 ENSORLG00015011928
oryzias_melastigma ENSOMEG00000001730
tetraodon_nigroviridis ENSTNIG00000001621
takifugu_rubripes ENSTRUG00000010857
mola_mola ENSMMOG00000008184
maylandia_zebra ENSMZEG00005012301
astatotilapia_calliptera ENSACLG00000017850
pundamilia_nyererei ENSPNYG00000005586
haplochromis_burtoni ENSHBUG00000004385
oreochromis_niloticus ENSONIG00000014851
gasterosteus_aculeatus ENSGACG00000002870
amphiprion_percula ENSAPEG00000005806
amphiprion_ocellaris ENSAOCG00000023547
acanthochromis_polyacanthus ENSAPOG00000003268
stegastes_partitus ENSSPAG00000011229
seriola_lalandi_dorsalis ENSSLDG00000021724
seriola_dumerili ENSSDUG00000020133
mastacembelus_armatus ENSMAMG00000012590
monopterus_albus ENSMALG00000009905
scophthalmus_maximus ENSSMAG00000014574
cynoglossus_semilaevis ENSCSEG00000010208
labrus_bergylta ENSLBEG00000005367
hippocampus_comes ENSHCOG00000005907
gadus_morhua ENSGMOG00000007231
esox_lucius ENSELUG00000018912
periophthalmus_magnuspinnatus ENSPMGG00000011227
astyanax_mexicanus ENSAMXG00000043152
pygocentrus_nattereri ENSPNAG00000002188
ictalurus_punctatus ENSIPUG00000018889
danio_rerio ENSDARG00000099761
paramormyrops_kingsleyae ENSPKIG00000015593
gasterosteus_aculeatus ENSGACG00000002875
labrus_bergylta ENSLBEG00000005395
amphiprion_percula ENSAPEG00000005784
acanthochromis_polyacanthus ENSAPOG00000003277
stegastes_partitus ENSSPAG00000011249
seriola_dumerili ENSSDUG00000020122
seriola_lalandi_dorsalis ENSSLDG00000021719
gadus_morhua ENSGMOG00000007241
esox_lucius ENSELUG00000018928
astyanax_mexicanus ENSAMXG00000041873
pygocentrus_nattereri ENSPNAG00000012311
paramormyrops_kingsleyae ENSPKIG00000015609
scleropages_formosus ENSSFOG00015005340
maylandia_zebra ENSMZEG00005012295
haplochromis_burtoni ENSHBUG00000004378
astatotilapia_calliptera ENSACLG00000017858
neolamprologus_brichardi ENSNBRG00000018619
oreochromis_niloticus ENSONIG00000014849
amphilophus_citrinellus ENSACIG00000001661
anabas_testudineus ENSATEG00000010339
lepisosteus_oculatus ENSLOCG00000007276
latimeria_chalumnae ENSLACG00000010045
pelodiscus_sinensis ENSPSIG00000003789
