xiphophorus_couchianus ENSXCOG00000004412
xiphophorus_maculatus ENSXMAG00000029118
poecilia_reticulata ENSPREG00000011965
gambusia_affinis ENSGAFG00000008843
fundulus_heteroclitus ENSFHEG00000013314
poecilia_mexicana ENSPMEG00000009240
poecilia_latipinna ENSPLAG00000003907
poecilia_formosa ENSPFOG00000023144
cyprinodon_variegatus ENSCVAG00000021795
kryptolebias_marmoratus ENSKMAG00000007607
oryzias_melastigma ENSOMEG00000002393
cynoglossus_semilaevis ENSCSEG00000015908
monopterus_albus ENSMALG00000005143
mastacembelus_armatus ENSMAMG00000011179
seriola_lalandi_dorsalis ENSSLDG00000012848
seriola_dumerili ENSSDUG00000018580
amphiprion_ocellaris ENSAOCG00000005836
amphiprion_percula ENSAPEG00000011126
stegastes_partitus ENSSPAG00000012689
maylandia_zebra ENSMZEG00005018352
haplochromis_burtoni ENSHBUG00000019728
pundamilia_nyererei ENSPNYG00000009263
astatotilapia_calliptera ENSACLG00000016353
neolamprologus_brichardi ENSNBRG00000003208
amphilophus_citrinellus ENSACIG00000016302
labrus_bergylta ENSLBEG00000016936
takifugu_rubripes ENSTRUG00000020827
periophthalmus_magnuspinnatus ENSPMGG00000020252
esox_lucius ENSELUG00000021111
pygocentrus_nattereri ENSPNAG00000011700
astyanax_mexicanus ENSAMXG00000038171
ictalurus_punctatus ENSIPUG00000021128
danio_rerio ENSDARG00000105023
paramormyrops_kingsleyae ENSPKIG00000017354
scleropages_formosus ENSSFOG00015015743
lepisosteus_oculatus ENSLOCG00000004647
