oryctolagus_cuniculus ENSOCUG00000017260
ochotona_princeps ENSOPRG00000014680
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096740
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000116166
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023575
mus_spicilegus ENSMSIG00000030086
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022662
meriones_unguiculatus ENSMUGG00000002372
cricetulus_griseus_crigri-picr ENSCGRG00015004606
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017126
mesocricetus_auratus ENSMAUG00000013717
microtus_ochrogaster ENSMOCG00000016664
jaculus_jaculus ENSJJAG00000011273
cebus_capucinus_imitator ENSCCAG00000025856
callithrix_jacchus ENSCJAG00000018789
saimiri_boliviensis_boliviensis ENSSBOG00000022501
aotus_nancymaae ENSANAG00000036011
pan_paniscus ENSPPAG00000031864
pan_troglodytes ENSPTRG00000049492
gorilla_gorilla ENSGGOG00000005043
homo_sapiens ENSG00000162194
pongo_abelii ENSPPYG00000003155
nomascus_leucogenys ENSNLEG00000004026
cercocebus_atys ENSCATG00000037717
papio_anubis ENSPANG00000004470
macaca_fascicularis ENSMFAG00000003562
carlito_syrichta ENSTSYG00000008520
microcebus_murinus ENSMICG00000042954
prolemur_simus ENSPSMG00000022723
otolemur_garnettii ENSOGAG00000025205
bison_bison_bison ENSBBBG00000019358
ovis_aries ENSOARG00000016312
tursiops_truncatus ENSTTRG00000002468
vicugna_pacos ENSVPAG00000009526
mustela_putorius_furo ENSMPUG00000013735
pteropus_vampyrus ENSPVAG00000003464
choloepus_hoffmanni ENSCHOG00000002915
dasypus_novemcinctus ENSDNOG00000002773
procavia_capensis ENSPCAG00000015704
echinops_telfairi ENSETEG00000004139
phascolarctos_cinereus ENSPCIG00000033746
