heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004786
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008226
fukomys_damarensis ENSFDAG00000006552
bos_taurus ENSBTAG00000023718
bison_bison_bison ENSBBBG00000017133
ovis_aries ENSOARG00000013792
sus_scrofa ENSSSCG00000040843
mustela_putorius_furo ENSMPUG00000001120
ursus_americanus ENSUAMG00000012294
panthera_tigris_altaica ENSPTIG00000014831
panthera_pardus ENSPPRG00000022999
felis_catus ENSFCAG00000044375
pteropus_vampyrus ENSPVAG00000000888
prolemur_simus ENSPSMG00000009480
otolemur_garnettii ENSOGAG00000017139
pan_paniscus ENSPPAG00000002893
pan_troglodytes ENSPTRG00000013851
homo_sapiens ENSG00000170262
gorilla_gorilla ENSGGOG00000000284
nomascus_leucogenys ENSNLEG00000003671
piliocolobus_tephrosceles ENSPTEG00000012826
colobus_angolensis_palliatus ENSCANG00000028880
rhinopithecus_bieti ENSRBIG00000040139
rhinopithecus_roxellana ENSRROG00000037714
macaca_fascicularis ENSMFAG00000000802
macaca_mulatta ENSMMUG00000010293
macaca_nemestrina ENSMNEG00000013893
mandrillus_leucophaeus ENSMLEG00000033382
cercocebus_atys ENSCATG00000042418
papio_anubis ENSPANG00000011261
theropithecus_gelada ENSTGEG00000027418
chlorocebus_sabaeus ENSCSAG00000009456
saimiri_boliviensis_boliviensis ENSSBOG00000029482
cebus_capucinus_imitator ENSCCAG00000037447
callithrix_jacchus ENSCJAG00000009105
aotus_nancymaae ENSANAG00000029561
carlito_syrichta ENSTSYG00000013276
dipodomys_ordii ENSDORG00000030148
castor_canadensis ENSCCNG00000029106
urocitellus_parryii ENSUPAG00010001416
spermophilus_dauricus ENSSDAG00000009252
marmota_marmota_marmota ENSMMMG00000000197
ictidomys_tridecemlineatus ENSSTOG00000021442
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019659
cricetulus_griseus_crigri_1.0 ENSCGRG00000018135
cricetulus_griseus_crigri-picr ENSCGRG00015013019
microtus_ochrogaster ENSMOCG00000013959
peromyscus_maniculatus_bairdii ENSPEMG00000030895
mus_spicilegus ENSMSIG00000017183
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021853
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039956
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020947
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016652
rattus_norvegicus ENSRNOG00000021524
meriones_unguiculatus ENSMUGG00000012454
nannospalax_galili ENSNGAG00000018367
jaculus_jaculus ENSJJAG00000015503
equus_caballus ENSECAG00000012808
equus_asinus_asinus ENSEASG00005007737
tursiops_truncatus ENSTTRG00000007708
loxodonta_africana ENSLAFG00000010405
oryctolagus_cuniculus ENSOCUG00000021276
ochotona_princeps ENSOPRG00000013449
tupaia_belangeri ENSTBEG00000009840
echinops_telfairi ENSETEG00000010468
choloepus_hoffmanni ENSCHOG00000006655
phascolarctos_cinereus ENSPCIG00000034650
parus_major ENSPMJG00000002941
cyanistes_caeruleus ENSCCEG00000004679
lepidothrix_coronata ENSLCOG00000011030
zonotrichia_albicollis ENSZALG00000009780
junco_hyemalis ENSJHYG00000015630
melopsittacus_undulatus ENSMUNG00000005797
