mus_musculus_strain_reference_cl57bl6 ENSMUSG00000102748
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023096
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022186
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018920
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008251
nannospalax_galili ENSNGAG00000022502
chinchilla_lanigera ENSCLAG00000012061
piliocolobus_tephrosceles ENSPTEG00000001671
mandrillus_leucophaeus ENSMLEG00000004964
homo_sapiens ENSG00000253910
propithecus_coquereli ENSPCOG00000018667
ursus_maritimus ENSUMAG00000012696
ursus_americanus ENSUAMG00000000575
vulpes_vulpes ENSVVUG00000017505
monodelphis_domestica ENSMODG00000023763
sarcophilus_harrisii ENSSHAG00000009539
