heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000096
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005039
fukomys_damarensis ENSFDAG00000017353
fukomys_damarensis ENSFDAG00000013848
fukomys_damarensis ENSFDAG00000015719
cavia_aperea ENSCAPG00000017093
nannospalax_galili ENSNGAG00000019494
nannospalax_galili ENSNGAG00000001454
nannospalax_galili ENSNGAG00000000262
nannospalax_galili ENSNGAG00000006924
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026502
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026503
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096770
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074268
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000093931
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000096569
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070360
mus_spicilegus ENSMSIG00000004741
mus_spicilegus ENSMSIG00000031704
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025553
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025552
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026998
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026999
rattus_norvegicus ENSRNOG00000055613
meriones_unguiculatus ENSMUGG00000002167
meriones_unguiculatus ENSMUGG00000007094
mesocricetus_auratus ENSMAUG00000005654
mesocricetus_auratus ENSMAUG00000010603
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017818
cricetulus_griseus_crigri_1.0 ENSCGRG00000004383
cricetulus_griseus_crigri-picr ENSCGRG00015027025
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017218
cricetulus_griseus_crigri-picr ENSCGRG00015026996
cricetulus_griseus_crigri_1.0 ENSCGRG00000004085
microtus_ochrogaster ENSMOCG00000015328
microtus_ochrogaster ENSMOCG00000019579
microtus_ochrogaster ENSMOCG00000007418
peromyscus_maniculatus_bairdii ENSPEMG00000030588
peromyscus_maniculatus_bairdii ENSPEMG00000027658
peromyscus_maniculatus_bairdii ENSPEMG00000026869
jaculus_jaculus ENSJJAG00000019466
spermophilus_dauricus ENSSDAG00000020347
spermophilus_dauricus ENSSDAG00000020376
marmota_marmota_marmota ENSMMMG00000008515
castor_canadensis ENSCCNG00000018123
castor_canadensis ENSCCNG00000018024
castor_canadensis ENSCCNG00000018127
octodon_degus ENSODEG00000005917
lepidothrix_coronata ENSLCOG00000002022
astyanax_mexicanus ENSAMXG00000036692
astyanax_mexicanus ENSAMXG00000001942
astyanax_mexicanus ENSAMXG00000043444
astyanax_mexicanus ENSAMXG00000037877
danio_rerio ENSDARG00000013856
gambusia_affinis ENSGAFG00000020217
cyprinodon_variegatus ENSCVAG00000016066
stegastes_partitus ENSSPAG00000006346
acanthochromis_polyacanthus ENSAPOG00000012728
periophthalmus_magnuspinnatus ENSPMGG00000016316
periophthalmus_magnuspinnatus ENSPMGG00000016310
