sarcophilus_harrisii ENSSHAG00000010593
notamacropus_eugenii ENSMEUG00000007125
ailuropoda_melanoleuca ENSAMEG00000001850
dasypus_novemcinctus ENSDNOG00000044548
pongo_abelii ENSPPYG00000004532
loxodonta_africana ENSLAFG00000030356
sorex_araneus ENSSARG00000005052
erinaceus_europaeus ENSEEUG00000000143
canis_lupus_familiaris ENSCAFG00000030601
ochotona_princeps ENSOPRG00000017021
equus_caballus ENSECAG00000028937
ovis_aries ENSOARG00000016801
felis_catus ENSFCAG00000044265
panthera_pardus ENSPPRG00000017803
mustela_putorius_furo ENSMPUG00000018973
neovison_vison ENSNVIG00000004599
pteropus_vampyrus ENSPVAG00000004948
tursiops_truncatus ENSTTRG00000013856
bos_taurus ENSBTAG00000002673
sus_scrofa ENSSSCG00000033660
microcebus_murinus ENSMICG00000043506
otolemur_garnettii ENSOGAG00000032760
pan_troglodytes ENSPTRG00000052556
pan_paniscus ENSPPAG00000024237
homo_sapiens ENSG00000261308
gorilla_gorilla ENSGGOG00000038213
colobus_angolensis_palliatus ENSCANG00000025404
piliocolobus_tephrosceles ENSPTEG00000038687
rhinopithecus_roxellana ENSRROG00000014535
rhinopithecus_bieti ENSRBIG00000006929
theropithecus_gelada ENSTGEG00000005424
papio_anubis ENSPANG00000034570
cercocebus_atys ENSCATG00000016456
macaca_fascicularis ENSMFAG00000025968
macaca_nemestrina ENSMNEG00000010990
cebus_capucinus_imitator ENSCCAG00000000947
callithrix_jacchus ENSCJAG00000048512
saimiri_boliviensis_boliviensis ENSSBOG00000028090
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009447
cavia_porcellus ENSCPOG00000019931
ictidomys_tridecemlineatus ENSSTOG00000029947
procavia_capensis ENSPCAG00000008929
vicugna_pacos ENSVPAG00000000769
dipodomys_ordii ENSDORG00000029523
jaculus_jaculus ENSJJAG00000024263
nannospalax_galili ENSNGAG00000017152
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014354
cricetulus_griseus_crigri-picr ENSCGRG00015028597
mesocricetus_auratus ENSMAUG00000019750
microtus_ochrogaster ENSMOCG00000007086
meriones_unguiculatus ENSMUGG00000005324
mus_spicilegus ENSMSIG00000021610
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000095440
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021195
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020302
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020303
taeniopygia_guttata ENSTGUG00000017457
nothoprocta_perdicaria ENSNPEG00000012274
junco_hyemalis ENSJHYG00000018182
serinus_canaria ENSSCAG00000001571
lonchura_striata_domestica ENSLSDG00000012397
parus_major ENSPMJG00000015676
lepidothrix_coronata ENSLCOG00000011624
ficedula_albicollis ENSFALG00000015313
anas_platyrhynchos_platyrhynchos ENSAPLG00000030252
anser_brachyrhynchus ENSABRG00000016973
gallus_gallus ENSGALG00000033339
coturnix_japonica ENSCJPG00005017873
numida_meleagris ENSNMEG00000005235
calidris_pugnax ENSCPUG00000005549
calidris_pygmaea ENSCPGG00000019042
gopherus_agassizii ENSGAGG00000017907
chelonoidis_abingdonii ENSCABG00000009082
chrysemys_picta_bellii ENSCPBG00000019458
pelodiscus_sinensis ENSPSIG00000017691
crocodylus_porosus ENSCPRG00005002002
pogona_vitticeps ENSPVIG00000014934
anolis_carolinensis ENSACAG00000016922
salvator_merianae ENSSMRG00000012302
notechis_scutatus ENSNSUG00000001454
apteryx_owenii ENSAOWG00000003856
apteryx_haastii ENSAHAG00000000789
apteryx_rowi ENSARWG00000013224
dromaius_novaehollandiae ENSDNVG00000004054
melopsittacus_undulatus ENSMUNG00000011762
latimeria_chalumnae ENSLACG00000018930
xenopus_tropicalis ENSXETG00000014114
paramormyrops_kingsleyae ENSPKIG00000005340
scleropages_formosus ENSSFOG00015013860
scleropages_formosus ENSSFOG00015003521
labrus_bergylta ENSLBEG00000013809
gasterosteus_aculeatus ENSGACG00000008474
takifugu_rubripes ENSTRUG00000015713
tetraodon_nigroviridis ENSTNIG00000015104
mola_mola ENSMMOG00000004852
monopterus_albus ENSMALG00000018197
mastacembelus_armatus ENSMAMG00000003577
anabas_testudineus ENSATEG00000020956
hippocampus_comes ENSHCOG00000009331
amphiprion_ocellaris ENSAOCG00000016747
amphiprion_ocellaris ENSAOCG00000013032
amphiprion_percula ENSAPEG00000018630
acanthochromis_polyacanthus ENSAPOG00000006045
