hippocampus_comes ENSHCOG00000000023
monopterus_albus ENSMALG00000000023
poecilia_reticulata ENSPREG00000000023
fundulus_heteroclitus ENSFHEG00000000023
cynoglossus_semilaevis ENSCSEG00000000023
scleropages_formosus ENSSFOG00015000023
paramormyrops_kingsleyae ENSPKIG00000006609
latimeria_chalumnae ENSLACG00000022077
xenopus_tropicalis ENSXETG00000034377
amphilophus_citrinellus ENSACIG00000008937
oryzias_latipes_asm223467v1 ENSORLG00000021769
seriola_dumerili ENSSDUG00000000023
seriola_dumerili ENSSDUG00000019074
seriola_lalandi_dorsalis ENSSLDG00000000023
gasterosteus_aculeatus ENSGACG00000020941
tetraodon_nigroviridis ENSTNIG00000000581
takifugu_rubripes ENSTRUG00000018678
mola_mola ENSMMOG00000016791
labrus_bergylta ENSLBEG00000005910
neolamprologus_brichardi ENSNBRG00000000023
neolamprologus_brichardi ENSNBRG00000000079
maylandia_zebra ENSMZEG00005000023
amphiprion_ocellaris ENSAOCG00000000023
xiphophorus_maculatus ENSXMAG00000020802
xiphophorus_couchianus ENSXCOG00000010609
kryptolebias_marmoratus ENSKMAG00000000023
cyprinodon_variegatus ENSCVAG00000000023
esox_lucius ENSELUG00000000023
pygocentrus_nattereri ENSPNAG00000000023
pygocentrus_nattereri ENSPNAG00000017150
lepisosteus_oculatus ENSLOCG00000020987
danio_rerio ENSDARG00000063911
microtus_ochrogaster ENSMOCG00000000022
peromyscus_maniculatus_bairdii ENSPEMG00000029671
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000064357
rattus_norvegicus ENSRNOG00000031979
jaculus_jaculus ENSJJAG00000000022
cavia_porcellus ENSCPOG00000017419
chinchilla_lanigera ENSCLAG00000000022
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000022
cricetulus_griseus_crigri_1.0 ENSCGRG00000000022
ochotona_princeps ENSOPRG00000024310
tupaia_belangeri ENSTBEG00000021331
oryctolagus_cuniculus ENSOCUG00000029102
meriones_unguiculatus ENSMUGG00000000023
propithecus_coquereli ENSPCOG00000000022
microcebus_murinus ENSMICG00000036548
urocitellus_parryii ENSUPAG00010001537
urocitellus_parryii ENSUPAG00010008663
ictidomys_tridecemlineatus ENSSTOG00000033906
marmota_marmota_marmota ENSMMMG00000024067
marmota_marmota_marmota ENSMMMG00000002347
mesocricetus_auratus ENSMAUG00000000022
carlito_syrichta ENSTSYG00000025378
