calidris_pugnax ENSCPUG00000014267
calidris_pygmaea ENSCPGG00000013286
lonchura_striata_domestica ENSLSDG00000005158
junco_hyemalis ENSJHYG00000007311
parus_major ENSPMJG00000007206
lepidothrix_coronata ENSLCOG00000008528
gallus_gallus ENSGALG00000045023
coturnix_japonica ENSCJPG00005019327
anser_brachyrhynchus ENSABRG00000013294
apteryx_rowi ENSARWG00000000574
apteryx_owenii ENSAOWG00000000329
apteryx_haastii ENSAHAG00000013643
nothoprocta_perdicaria ENSNPEG00000010652
manacus_vitellinus ENSMVIG00005005364
melopsittacus_undulatus ENSMUNG00000000870
anas_platyrhynchos_platyrhynchos ENSAPLG00000030143
numida_meleagris ENSNMEG00000005251
crocodylus_porosus ENSCPRG00005007871
chelonoidis_abingdonii ENSCABG00000003787
gopherus_agassizii ENSGAGG00000009686
chrysemys_picta_bellii ENSCPBG00000027268
sphenodon_punctatus ENSSPUG00000015003
latimeria_chalumnae ENSLACG00000014169
seriola_lalandi_dorsalis ENSSLDG00000001524
seriola_dumerili ENSSDUG00000003790
scophthalmus_maximus ENSSMAG00000011224
mastacembelus_armatus ENSMAMG00000008029
anabas_testudineus ENSATEG00000014408
labrus_bergylta ENSLBEG00000008333
gasterosteus_aculeatus ENSGACG00000009881
takifugu_rubripes ENSTRUG00000019698
tetraodon_nigroviridis ENSTNIG00000012857
mola_mola ENSMMOG00000002641
amphiprion_percula ENSAPEG00000004834
amphiprion_ocellaris ENSAOCG00000014952
acanthochromis_polyacanthus ENSAPOG00000006609
stegastes_partitus ENSSPAG00000008234
astatotilapia_calliptera ENSACLG00000013582
maylandia_zebra ENSMZEG00005009543
pundamilia_nyererei ENSPNYG00000018976
haplochromis_burtoni ENSHBUG00000022515
neolamprologus_brichardi ENSNBRG00000021808
oreochromis_niloticus ENSONIG00000019896
amphilophus_citrinellus ENSACIG00000001402
xiphophorus_maculatus ENSXMAG00000025075
xiphophorus_couchianus ENSXCOG00000017786
gambusia_affinis ENSGAFG00000011033
poecilia_mexicana ENSPMEG00000000756
poecilia_formosa ENSPFOG00000013933
poecilia_latipinna ENSPLAG00000011627
poecilia_reticulata ENSPREG00000004689
fundulus_heteroclitus ENSFHEG00000019376
cyprinodon_variegatus ENSCVAG00000018735
kryptolebias_marmoratus ENSKMAG00000009742
oryzias_latipes_asm223467v1 ENSORLG00000004106
oryzias_latipes_asm223469v1 ENSORLG00015019531
oryzias_latipes_asm223471v1 ENSORLG00020021357
oryzias_melastigma ENSOMEG00000005475
periophthalmus_magnuspinnatus ENSPMGG00000004278
hippocampus_comes ENSHCOG00000013408
cynoglossus_semilaevis ENSCSEG00000019648
gadus_morhua ENSGMOG00000013275
esox_lucius ENSELUG00000011968
pygocentrus_nattereri ENSPNAG00000007647
astyanax_mexicanus ENSAMXG00000042142
ictalurus_punctatus ENSIPUG00000010804
danio_rerio ENSDARG00000071560
paramormyrops_kingsleyae ENSPKIG00000021603
scleropages_formosus ENSSFOG00015009114
seriola_lalandi_dorsalis ENSSLDG00000013663
seriola_dumerili ENSSDUG00000006757
scophthalmus_maximus ENSSMAG00000017604
monopterus_albus ENSMALG00000010462
mastacembelus_armatus ENSMAMG00000017542
anabas_testudineus ENSATEG00000011897
amphiprion_ocellaris ENSAOCG00000015488
amphiprion_percula ENSAPEG00000020469
acanthochromis_polyacanthus ENSAPOG00000009696
stegastes_partitus ENSSPAG00000017673
maylandia_zebra ENSMZEG00005018781
astatotilapia_calliptera ENSACLG00000007015
haplochromis_burtoni ENSHBUG00000009402
pundamilia_nyererei ENSPNYG00000019206
neolamprologus_brichardi ENSNBRG00000015209
oreochromis_niloticus ENSONIG00000006433
amphilophus_citrinellus ENSACIG00000003811
fundulus_heteroclitus ENSFHEG00000016599
cyprinodon_variegatus ENSCVAG00000014721
xiphophorus_maculatus ENSXMAG00000021845
xiphophorus_couchianus ENSXCOG00000010571
gambusia_affinis ENSGAFG00000005183
poecilia_mexicana ENSPMEG00000008094
poecilia_formosa ENSPFOG00000014479
poecilia_latipinna ENSPLAG00000016466
poecilia_reticulata ENSPREG00000011713
kryptolebias_marmoratus ENSKMAG00000013682
tetraodon_nigroviridis ENSTNIG00000011166
takifugu_rubripes ENSTRUG00000025226
mola_mola ENSMMOG00000016200
gasterosteus_aculeatus ENSGACG00000005120
labrus_bergylta ENSLBEG00000019821
cynoglossus_semilaevis ENSCSEG00000012821
periophthalmus_magnuspinnatus ENSPMGG00000008632
hippocampus_comes ENSHCOG00000000580
gadus_morhua ENSGMOG00000018574
esox_lucius ENSELUG00000022662
astyanax_mexicanus ENSAMXG00000032471
astyanax_mexicanus ENSAMXG00000039569
pygocentrus_nattereri ENSPNAG00000012978
danio_rerio ENSDARG00000011956
lepisosteus_oculatus ENSLOCG00000013307
