homo_sapiens ENSG00000035681
pan_troglodytes ENSPTRG00000020279
gorilla_gorilla ENSGGOG00000004827
pongo_abelii ENSPPYG00000018613
nomascus_leucogenys ENSNLEG00000001542
mandrillus_leucophaeus ENSMLEG00000035803
theropithecus_gelada ENSTGEG00000017940
macaca_fascicularis ENSMFAG00000003576
chlorocebus_sabaeus ENSCSAG00000014470
colobus_angolensis_palliatus ENSCANG00000027917
piliocolobus_tephrosceles ENSPTEG00000037919
rhinopithecus_roxellana ENSRROG00000013301
rhinopithecus_bieti ENSRBIG00000034455
colobus_angolensis_palliatus ENSCANG00000042163
theropithecus_gelada ENSTGEG00000028042
papio_anubis ENSPANG00000029659
mandrillus_leucophaeus ENSMLEG00000032655
macaca_fascicularis ENSMFAG00000031537
macaca_mulatta ENSMMUG00000023682
macaca_nemestrina ENSMNEG00000042639
cercocebus_atys ENSCATG00000038138
chlorocebus_sabaeus ENSCSAG00000012294
cercocebus_atys ENSCATG00000038011
macaca_nemestrina ENSMNEG00000033392
papio_anubis ENSPANG00000021868
macaca_mulatta ENSMMUG00000017297
rhinopithecus_roxellana ENSRROG00000041955
rhinopithecus_bieti ENSRBIG00000024116
pan_paniscus ENSPPAG00000028955
cebus_capucinus_imitator ENSCCAG00000034122
saimiri_boliviensis_boliviensis ENSSBOG00000025474
callithrix_jacchus ENSCJAG00000008834
aotus_nancymaae ENSANAG00000027618
carlito_syrichta ENSTSYG00000013520
propithecus_coquereli ENSPCOG00000020110
prolemur_simus ENSPSMG00000025693
microcebus_murinus ENSMICG00000003974
otolemur_garnettii ENSOGAG00000013469
tupaia_belangeri ENSTBEG00000014101
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018148
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016249
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000063
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001266
fukomys_damarensis ENSFDAG00000017330
chinchilla_lanigera ENSCLAG00000013661
cavia_porcellus ENSCPOG00000013618
cavia_aperea ENSCAPG00000005862
octodon_degus ENSODEG00000005681
spermophilus_dauricus ENSSDAG00000012589
urocitellus_parryii ENSUPAG00010019682
ictidomys_tridecemlineatus ENSSTOG00000008019
marmota_marmota_marmota ENSMMMG00000003716
castor_canadensis ENSCCNG00000029088
dipodomys_ordii ENSDORG00000006742
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000418
cricetulus_griseus_crigri-picr ENSCGRG00015022715
cricetulus_griseus_crigri_1.0 ENSCGRG00000004220
mesocricetus_auratus ENSMAUG00000008080
peromyscus_maniculatus_bairdii ENSPEMG00000019696
microtus_ochrogaster ENSMOCG00000018628
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026741
mus_spicilegus ENSMSIG00000015959
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028245
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025793
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023916
rattus_norvegicus ENSRNOG00000010234
meriones_unguiculatus ENSMUGG00000025442
nannospalax_galili ENSNGAG00000000215
jaculus_jaculus ENSJJAG00000018732
oryctolagus_cuniculus ENSOCUG00000016215
ochotona_princeps ENSOPRG00000007950
pteropus_vampyrus ENSPVAG00000009029
myotis_lucifugus ENSMLUG00000004814
equus_asinus_asinus ENSEASG00005016270
equus_caballus ENSECAG00000000565
ursus_maritimus ENSUMAG00000009846
ursus_americanus ENSUAMG00000008888
ailuropoda_melanoleuca ENSAMEG00000006217
mustela_putorius_furo ENSMPUG00000010320
neovison_vison ENSNVIG00000002488
canis_lupus_familiaris ENSCAFG00000007130
canis_lupus_dingo ENSCAFG00020015657
vulpes_vulpes ENSVVUG00000017979
panthera_pardus ENSPPRG00000009327
panthera_tigris_altaica ENSPTIG00000010795
felis_catus ENSFCAG00000008007
sus_scrofa ENSSSCG00000006236
vicugna_pacos ENSVPAG00000009249
ovis_aries ENSOARG00000015741
capra_hircus ENSCHIG00000015908
bos_mutus ENSBMUG00000012057
bos_taurus ENSBTAG00000008958
bison_bison_bison ENSBBBG00000004247
tursiops_truncatus ENSTTRG00000003750
erinaceus_europaeus ENSEEUG00000015773
sorex_araneus ENSSARG00000010271
loxodonta_africana ENSLAFG00000014883
procavia_capensis ENSPCAG00000016484
echinops_telfairi ENSETEG00000000391
dasypus_novemcinctus ENSDNOG00000034263
dasypus_novemcinctus ENSDNOG00000049149
dasypus_novemcinctus ENSDNOG00000038453
dasypus_novemcinctus ENSDNOG00000031472
dasypus_novemcinctus ENSDNOG00000010583
choloepus_hoffmanni ENSCHOG00000003570
phascolarctos_cinereus ENSPCIG00000000016
notamacropus_eugenii ENSMEUG00000016592
sarcophilus_harrisii ENSSHAG00000012487
monodelphis_domestica ENSMODG00000008797
ornithorhynchus_anatinus ENSOANG00000005036
anser_brachyrhynchus ENSABRG00000005742
anas_platyrhynchos_platyrhynchos ENSAPLG00000008911
meleagris_gallopavo ENSMGAG00000011062
coturnix_japonica ENSCJPG00005010426
gallus_gallus ENSGALG00000038838
numida_meleagris ENSNMEG00000013737
lonchura_striata_domestica ENSLSDG00000014303
taeniopygia_guttata ENSTGUG00000011150
serinus_canaria ENSSCAG00000012905
