acanthochromis_polyacanthus ENSAPOG00000021136
oreochromis_niloticus ENSONIG00000002941
xiphophorus_maculatus ENSXMAG00000016922
gambusia_affinis ENSGAFG00000019385
takifugu_rubripes ENSTRUG00000019683
esox_lucius ENSELUG00000004311
pygocentrus_nattereri ENSPNAG00000009468
astyanax_mexicanus ENSAMXG00000031528
ictalurus_punctatus ENSIPUG00000010481
danio_rerio ENSDARG00000043299
lepisosteus_oculatus ENSLOCG00000014037
apteryx_owenii ENSAOWG00000017500
apteryx_haastii ENSAHAG00000011193
apteryx_rowi ENSARWG00000016100
dromaius_novaehollandiae ENSDNVG00000011244
nothoprocta_perdicaria ENSNPEG00000005941
lonchura_striata_domestica ENSLSDG00000008144
taeniopygia_guttata ENSTGUG00000007492
serinus_canaria ENSSCAG00000008883
zonotrichia_albicollis ENSZALG00000014563
junco_hyemalis ENSJHYG00000007750
parus_major ENSPMJG00000006306
manacus_vitellinus ENSMVIG00005011483
ficedula_albicollis ENSFALG00000003659
cyanistes_caeruleus ENSCCEG00000014739
lepidothrix_coronata ENSLCOG00000001016
melopsittacus_undulatus ENSMUNG00000006557
calidris_pygmaea ENSCPGG00000018482
calidris_pugnax ENSCPUG00000011704
anas_platyrhynchos_platyrhynchos ENSAPLG00000007751
anser_brachyrhynchus ENSABRG00000000102
meleagris_gallopavo ENSMGAG00000011738
coturnix_japonica ENSCJPG00005010675
gallus_gallus ENSGALG00000020151
numida_meleagris ENSNMEG00000011046
pelodiscus_sinensis ENSPSIG00000011963
anolis_carolinensis ENSACAG00000028735
pogona_vitticeps ENSPVIG00000003162
gopherus_agassizii ENSGAGG00000021724
chelonoidis_abingdonii ENSCABG00000016517
chrysemys_picta_bellii ENSCPBG00000025079
sphenodon_punctatus ENSSPUG00000017691
phascolarctos_cinereus ENSPCIG00000000321
notamacropus_eugenii ENSMEUG00000000258
sarcophilus_harrisii ENSSHAG00000002802
monodelphis_domestica ENSMODG00000025530
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006706
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008894
fukomys_damarensis ENSFDAG00000019276
chinchilla_lanigera ENSCLAG00000003714
cavia_porcellus ENSCPOG00000009016
octodon_degus ENSODEG00000010066
jaculus_jaculus ENSJJAG00000018096
urocitellus_parryii ENSUPAG00010020889
