kryptolebias_marmoratus ENSKMAG00000006047
pundamilia_nyererei ENSPNYG00000005751
sus_scrofa ENSSSCG00000040495
sus_scrofa ENSSSCG00000038794
canis_lupus_dingo ENSCAFG00020020759
jaculus_jaculus ENSJJAG00000011633
dipodomys_ordii ENSDORG00000028487
rhinopithecus_roxellana ENSRROG00000039674
rhinopithecus_bieti ENSRBIG00000030405
colobus_angolensis_palliatus ENSCANG00000031906
macaca_mulatta ENSMMUG00000040122
macaca_fascicularis ENSMFAG00000032495
macaca_nemestrina ENSMNEG00000029013
cercocebus_atys ENSCATG00000037916
theropithecus_gelada ENSTGEG00000015445
theropithecus_gelada ENSTGEG00000015469
papio_anubis ENSPANG00000035595
phascolarctos_cinereus ENSPCIG00000028824
