canis_lupus_dingo ENSCAFG00020007026
vulpes_vulpes ENSVVUG00000013515
neovison_vison ENSNVIG00000017390
bos_mutus ENSBMUG00000022300
bison_bison_bison ENSBBBG00000020988
meriones_unguiculatus ENSMUGG00000001425
mus_spicilegus ENSMSIG00000029462
urocitellus_parryii ENSUPAG00010009032
macaca_fascicularis ENSMFAG00000039830
macaca_nemestrina ENSMNEG00000027108
papio_anubis ENSPANG00000029802
theropithecus_gelada ENSTGEG00000018451
pan_paniscus ENSPPAG00000042416
pongo_abelii ENSPPYG00000016741
saimiri_boliviensis_boliviensis ENSSBOG00000015163
piliocolobus_tephrosceles ENSPTEG00000015956
piliocolobus_tephrosceles ENSPTEG00000024055
macaca_nemestrina ENSMNEG00000028690
theropithecus_gelada ENSTGEG00000006844
pan_paniscus ENSPPAG00000030268
aotus_nancymaae ENSANAG00000021676
pan_paniscus ENSPPAG00000042954
gorilla_gorilla ENSGGOG00000039254
nomascus_leucogenys ENSNLEG00000033156
pan_troglodytes ENSPTRG00000052632
pan_paniscus ENSPPAG00000036752
callithrix_jacchus ENSCJAG00000040840
acanthochromis_polyacanthus ENSAPOG00000004526
cyprinodon_variegatus ENSCVAG00000017681
mola_mola ENSMMOG00000017530
