choloepus_hoffmanni ENSCHOG00000008179
dasypus_novemcinctus ENSDNOG00000037101
procavia_capensis ENSPCAG00000002835
echinops_telfairi ENSETEG00000020194
loxodonta_africana ENSLAFG00000025924
capra_hircus ENSCHIG00000026454
ovis_aries ENSOARG00000011599
bos_mutus ENSBMUG00000006811
bos_taurus ENSBTAG00000018531
bison_bison_bison ENSBBBG00000015287
tursiops_truncatus ENSTTRG00000008386
vicugna_pacos ENSVPAG00000011884
sus_scrofa ENSSSCG00000035379
pteropus_vampyrus ENSPVAG00000004331
myotis_lucifugus ENSMLUG00000012061
erinaceus_europaeus ENSEEUG00000002301
sorex_araneus ENSSARG00000008031
equus_asinus_asinus ENSEASG00005016703
equus_caballus ENSECAG00000020041
ursus_americanus ENSUAMG00000008918
ursus_maritimus ENSUMAG00000003741
ailuropoda_melanoleuca ENSAMEG00000005863
neovison_vison ENSNVIG00000016613
mustela_putorius_furo ENSMPUG00000009530
canis_lupus_dingo ENSCAFG00020027070
canis_lupus_familiaris ENSCAFG00000028568
vulpes_vulpes ENSVVUG00000004293
panthera_tigris_altaica ENSPTIG00000000147
panthera_pardus ENSPPRG00000024678
felis_catus ENSFCAG00000043407
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028371
mus_spicilegus ENSMSIG00000031645
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000067149
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027374
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017152
rattus_norvegicus ENSRNOG00000003666
meriones_unguiculatus ENSMUGG00000006759
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011544
cricetulus_griseus_crigri_1.0 ENSCGRG00000005586
cricetulus_griseus_crigri-picr ENSCGRG00015019783
mesocricetus_auratus ENSMAUG00000014152
peromyscus_maniculatus_bairdii ENSPEMG00000028523
microtus_ochrogaster ENSMOCG00000022101
nannospalax_galili ENSNGAG00000023624
jaculus_jaculus ENSJJAG00000019912
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001584
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004337
fukomys_damarensis ENSFDAG00000013104
cavia_porcellus ENSCPOG00000031403
cavia_aperea ENSCAPG00000013612
chinchilla_lanigera ENSCLAG00000004377
octodon_degus ENSODEG00000001758
dipodomys_ordii ENSDORG00000015246
oryctolagus_cuniculus ENSOCUG00000027219
ochotona_princeps ENSOPRG00000010985
homo_sapiens ENSG00000132465
gorilla_gorilla ENSGGOG00000023846
pan_troglodytes ENSPTRG00000016134
pan_paniscus ENSPPAG00000035659
pongo_abelii ENSPPYG00000014809
nomascus_leucogenys ENSNLEG00000007714
colobus_angolensis_palliatus ENSCANG00000026812
piliocolobus_tephrosceles ENSPTEG00000009131
rhinopithecus_roxellana ENSRROG00000012539
rhinopithecus_bieti ENSRBIG00000037147
macaca_nemestrina ENSMNEG00000041331
macaca_mulatta ENSMMUG00000039537
macaca_fascicularis ENSMFAG00000041799
mandrillus_leucophaeus ENSMLEG00000033907
cercocebus_atys ENSCATG00000040597
papio_anubis ENSPANG00000029336
theropithecus_gelada ENSTGEG00000016605
chlorocebus_sabaeus ENSCSAG00000004863
saimiri_boliviensis_boliviensis ENSSBOG00000011102
cebus_capucinus_imitator ENSCCAG00000024639
callithrix_jacchus ENSCJAG00000043740
aotus_nancymaae ENSANAG00000020300
carlito_syrichta ENSTSYG00000010025
propithecus_coquereli ENSPCOG00000012966
microcebus_murinus ENSMICG00000029921
prolemur_simus ENSPSMG00000015038
otolemur_garnettii ENSOGAG00000003039
spermophilus_dauricus ENSSDAG00000024541
ictidomys_tridecemlineatus ENSSTOG00000010787
marmota_marmota_marmota ENSMMMG00000024673
urocitellus_parryii ENSUPAG00010010874
castor_canadensis ENSCCNG00000000007
notamacropus_eugenii ENSMEUG00000013388
phascolarctos_cinereus ENSPCIG00000000809
sarcophilus_harrisii ENSSHAG00000018181
monodelphis_domestica ENSMODG00000019083
ornithorhynchus_anatinus ENSOANG00000013693
gopherus_agassizii ENSGAGG00000003986
chelonoidis_abingdonii ENSCABG00000009922
chrysemys_picta_bellii ENSCPBG00000019487
pelodiscus_sinensis ENSPSIG00000012636
crocodylus_porosus ENSCPRG00005006855
sphenodon_punctatus ENSSPUG00000007315
apteryx_owenii ENSAOWG00000019073
apteryx_rowi ENSARWG00000003061
apteryx_haastii ENSAHAG00000007600
nothoprocta_perdicaria ENSNPEG00000010293
dromaius_novaehollandiae ENSDNVG00000007646
anser_brachyrhynchus ENSABRG00000014225
anas_platyrhynchos_platyrhynchos ENSAPLG00000024464
gallus_gallus ENSGALG00000011551
coturnix_japonica ENSCJPG00005001049
meleagris_gallopavo ENSMGAG00000009989
numida_meleagris ENSNMEG00000018970
taeniopygia_guttata ENSTGUG00000001661
lonchura_striata_domestica ENSLSDG00000018071
zonotrichia_albicollis ENSZALG00000003287
junco_hyemalis ENSJHYG00000000257
serinus_canaria ENSSCAG00000004416
parus_major ENSPMJG00000001096
cyanistes_caeruleus ENSCCEG00000022163
ficedula_albicollis ENSFALG00000008413
lepidothrix_coronata ENSLCOG00000011672
manacus_vitellinus ENSMVIG00005006188
calidris_pygmaea ENSCPGG00000003406
calidris_pugnax ENSCPUG00000000267
melopsittacus_undulatus ENSMUNG00000012034
pogona_vitticeps ENSPVIG00000012101
anolis_carolinensis ENSACAG00000012858
notechis_scutatus ENSNSUG00000002377
salvator_merianae ENSSMRG00000008414
latimeria_chalumnae ENSLACG00000022257
