poecilia_formosa ENSPFOG00000003278
takifugu_rubripes ENSTRUG00000007185
maylandia_zebra ENSMZEG00005005676
ictalurus_punctatus ENSIPUG00000013048
anas_platyrhynchos_platyrhynchos ENSAPLG00000000588
lonchura_striata_domestica ENSLSDG00000001366
nothoprocta_perdicaria ENSNPEG00000002640
ornithorhynchus_anatinus ENSOANG00000019827
nothoprocta_perdicaria ENSNPEG00000004947
gallus_gallus ENSGALG00000053220
gallus_gallus ENSGALG00000052434
numida_meleagris ENSNMEG00000006455
calidris_pugnax ENSCPUG00000018163
apteryx_rowi ENSARWG00000009395
astyanax_mexicanus ENSAMXG00000040953
stegastes_partitus ENSSPAG00000002916
amphiprion_percula ENSAPEG00000008979
seriola_dumerili ENSSDUG00000018371
petromyzon_marinus ENSPMAG00000007320
scleropages_formosus ENSSFOG00015012037
paramormyrops_kingsleyae ENSPKIG00000023589
anolis_carolinensis ENSACAG00000016845
ficedula_albicollis ENSFALG00000007671
petromyzon_marinus ENSPMAG00000000050
pelodiscus_sinensis ENSPSIG00000013734
chrysemys_picta_bellii ENSCPBG00000025943
meleagris_gallopavo ENSMGAG00000004506
melopsittacus_undulatus ENSMUNG00000010307
ficedula_albicollis ENSFALG00000013182
taeniopygia_guttata ENSTGUG00000004030
manacus_vitellinus ENSMVIG00005004299
lonchura_striata_domestica ENSLSDG00000017361
zonotrichia_albicollis ENSZALG00000015348
junco_hyemalis ENSJHYG00000009932
parus_major ENSPMJG00000014110
gallus_gallus ENSGALG00000004286
dromaius_novaehollandiae ENSDNVG00000015150
serinus_canaria ENSSCAG00000016404
anas_platyrhynchos_platyrhynchos ENSAPLG00000012044
anolis_carolinensis ENSACAG00000017768
loxodonta_africana ENSLAFG00000015605
procavia_capensis ENSPCAG00000000526
echinops_telfairi ENSETEG00000002565
pan_troglodytes ENSPTRG00000002579
pan_paniscus ENSPPAG00000043840
gorilla_gorilla ENSGGOG00000005032
homo_sapiens ENSG00000197467
pongo_abelii ENSPPYG00000002378
nomascus_leucogenys ENSNLEG00000011295
mandrillus_leucophaeus ENSMLEG00000041796
cercocebus_atys ENSCATG00000042286
papio_anubis ENSPANG00000022178
theropithecus_gelada ENSTGEG00000029123
macaca_nemestrina ENSMNEG00000042505
chlorocebus_sabaeus ENSCSAG00000008138
rhinopithecus_roxellana ENSRROG00000018038
rhinopithecus_bieti ENSRBIG00000044467
piliocolobus_tephrosceles ENSPTEG00000031975
colobus_angolensis_palliatus ENSCANG00000029062
cebus_capucinus_imitator ENSCCAG00000035276
saimiri_boliviensis_boliviensis ENSSBOG00000033267
callithrix_jacchus ENSCJAG00000016435
carlito_syrichta ENSTSYG00000007433
propithecus_coquereli ENSPCOG00000018840
microcebus_murinus ENSMICG00000007401
