sus_scrofa ENSSSCG00000032789
capra_hircus ENSCHIG00000014387
pan_troglodytes ENSPTRG00000052539
pan_paniscus ENSPPAG00000039537
gorilla_gorilla ENSGGOG00000041048
rhinopithecus_roxellana ENSRROG00000029867
rhinopithecus_bieti ENSRBIG00000044953
piliocolobus_tephrosceles ENSPTEG00000037447
colobus_angolensis_palliatus ENSCANG00000031610
theropithecus_gelada ENSTGEG00000016976
cercocebus_atys ENSCATG00000040465
macaca_mulatta ENSMMUG00000044933
macaca_nemestrina ENSMNEG00000039199
macaca_fascicularis ENSMFAG00000038323
mandrillus_leucophaeus ENSMLEG00000028852
papio_anubis ENSPANG00000031211
callithrix_jacchus ENSCJAG00000038889
cebus_capucinus_imitator ENSCCAG00000028903
aotus_nancymaae ENSANAG00000020437
microcebus_murinus ENSMICG00000045238
