ictidomys_tridecemlineatus ENSSTOG00000027805
spermophilus_dauricus ENSSDAG00000006991
chinchilla_lanigera ENSCLAG00000014821
octodon_degus ENSODEG00000013972
cavia_porcellus ENSCPOG00000040692
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001147
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006638
fukomys_damarensis ENSFDAG00000016688
castor_canadensis ENSCCNG00000024328
dipodomys_ordii ENSDORG00000009034
microcebus_murinus ENSMICG00000015347
propithecus_coquereli ENSPCOG00000024028
prolemur_simus ENSPSMG00000008464
otolemur_garnettii ENSOGAG00000014364
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055862
mus_spicilegus ENSMSIG00000010542
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016416
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015598
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031011
rattus_norvegicus ENSRNOG00000031950
meriones_unguiculatus ENSMUGG00000014180
peromyscus_maniculatus_bairdii ENSPEMG00000022820
microtus_ochrogaster ENSMOCG00000019193
cricetulus_griseus_crigri-picr ENSCGRG00015003181
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016288
cricetulus_griseus_crigri_1.0 ENSCGRG00000017337
mesocricetus_auratus ENSMAUG00000003317
nannospalax_galili ENSNGAG00000023033
jaculus_jaculus ENSJJAG00000001324
ochotona_princeps ENSOPRG00000012058
pan_paniscus ENSPPAG00000042151
pan_troglodytes ENSPTRG00000010222
homo_sapiens ENSG00000099840
gorilla_gorilla ENSGGOG00000006577
pongo_abelii ENSPPYG00000009338
nomascus_leucogenys ENSNLEG00000002023
piliocolobus_tephrosceles ENSPTEG00000000692
colobus_angolensis_palliatus ENSCANG00000040486
rhinopithecus_bieti ENSRBIG00000036993
rhinopithecus_roxellana ENSRROG00000042338
macaca_fascicularis ENSMFAG00000044044
macaca_mulatta ENSMMUG00000015660
cercocebus_atys ENSCATG00000037484
papio_anubis ENSPANG00000012744
macaca_nemestrina ENSMNEG00000039524
mandrillus_leucophaeus ENSMLEG00000032686
theropithecus_gelada ENSTGEG00000012470
chlorocebus_sabaeus ENSCSAG00000011863
cebus_capucinus_imitator ENSCCAG00000020629
saimiri_boliviensis_boliviensis ENSSBOG00000027859
callithrix_jacchus ENSCJAG00000013059
aotus_nancymaae ENSANAG00000030921
carlito_syrichta ENSTSYG00000028942
marmota_marmota_marmota ENSMMMG00000016311
urocitellus_parryii ENSUPAG00010013098
tupaia_belangeri ENSTBEG00000006721
mustela_putorius_furo ENSMPUG00000007007
neovison_vison ENSNVIG00000005013
ailuropoda_melanoleuca ENSAMEG00000005317
canis_lupus_familiaris ENSCAFG00000019426
canis_lupus_dingo ENSCAFG00020017320
vulpes_vulpes ENSVVUG00000002473
panthera_pardus ENSPPRG00000005640
panthera_tigris_altaica ENSPTIG00000020308
felis_catus ENSFCAG00000012090
bos_mutus ENSBMUG00000013950
bos_taurus ENSBTAG00000025448
bison_bison_bison ENSBBBG00000006444
capra_hircus ENSCHIG00000012130
ovis_aries ENSOARG00000014577
tursiops_truncatus ENSTTRG00000011540
sus_scrofa ENSSSCG00000013455
pteropus_vampyrus ENSPVAG00000013366
equus_asinus_asinus ENSEASG00005021873
equus_caballus ENSECAG00000009516
loxodonta_africana ENSLAFG00000028049
procavia_capensis ENSPCAG00000012849
echinops_telfairi ENSETEG00000007324
chrysemys_picta_bellii ENSCPBG00000018518
sphenodon_punctatus ENSSPUG00000012356
