pan_paniscus ENSPPAG00000038706
pan_troglodytes ENSPTRG00000017873
gorilla_gorilla ENSGGOG00000001759
homo_sapiens ENSG00000137338
pongo_abelii ENSPPYG00000016369
nomascus_leucogenys ENSNLEG00000036262
papio_anubis ENSPANG00000016270
theropithecus_gelada ENSTGEG00000003511
mandrillus_leucophaeus ENSMLEG00000040463
cercocebus_atys ENSCATG00000033873
macaca_fascicularis ENSMFAG00000042494
macaca_nemestrina ENSMNEG00000032959
macaca_mulatta ENSMMUG00000007228
chlorocebus_sabaeus ENSCSAG00000008007
rhinopithecus_bieti ENSRBIG00000027815
rhinopithecus_roxellana ENSRROG00000043333
colobus_angolensis_palliatus ENSCANG00000023195
piliocolobus_tephrosceles ENSPTEG00000036574
saimiri_boliviensis_boliviensis ENSSBOG00000000969
cebus_capucinus_imitator ENSCCAG00000033021
callithrix_jacchus ENSCJAG00000018636
aotus_nancymaae ENSANAG00000028184
carlito_syrichta ENSTSYG00000010204
propithecus_coquereli ENSPCOG00000005110
microcebus_murinus ENSMICG00000034507
prolemur_simus ENSPSMG00000015784
otolemur_garnettii ENSOGAG00000025863
cavia_porcellus ENSCPOG00000035056
cavia_aperea ENSCAPG00000006344
octodon_degus ENSODEG00000008481
fukomys_damarensis ENSFDAG00000007299
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018270
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019126
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055313
mus_spicilegus ENSMSIG00000017782
cricetulus_griseus_crigri-picr ENSCGRG00015008181
castor_canadensis ENSCCNG00000001229
marmota_marmota_marmota ENSMMMG00000020530
spermophilus_dauricus ENSSDAG00000022662
ictidomys_tridecemlineatus ENSSTOG00000026610
oryctolagus_cuniculus ENSOCUG00000017970
ochotona_princeps ENSOPRG00000003110
tupaia_belangeri ENSTBEG00000016237
capra_hircus ENSCHIG00000013808
ovis_aries ENSOARG00000017894
bos_taurus ENSBTAG00000046573
bos_mutus ENSBMUG00000024259
bison_bison_bison ENSBBBG00000009116
bison_bison_bison ENSBBBG00000014323
tursiops_truncatus ENSTTRG00000013231
sus_scrofa ENSSSCG00000001207
vicugna_pacos ENSVPAG00000000038
ailuropoda_melanoleuca ENSAMEG00000010459
ursus_americanus ENSUAMG00000012433
neovison_vison ENSNVIG00000014159
neovison_vison ENSNVIG00000014157
mustela_putorius_furo ENSMPUG00000001279
canis_lupus_familiaris ENSCAFG00000011937
canis_lupus_dingo ENSCAFG00020002972
equus_caballus ENSECAG00000008793
equus_asinus_asinus ENSEASG00005012102
erinaceus_europaeus ENSEEUG00000005328
sorex_araneus ENSSARG00000002363
loxodonta_africana ENSLAFG00000025955
choloepus_hoffmanni ENSCHOG00000007520
