heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020946
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020262
ictidomys_tridecemlineatus ENSSTOG00000030627
rattus_norvegicus ENSRNOG00000049431
rattus_norvegicus ENSRNOG00000050749
prolemur_simus ENSPSMG00000000236
prolemur_simus ENSPSMG00000000246
equus_asinus_asinus ENSEASG00005017318
equus_caballus ENSECAG00000032398
equus_caballus ENSECAG00000028028
pteropus_vampyrus ENSPVAG00000004697
bos_taurus ENSBTAG00000052450
bos_mutus ENSBMUG00000000311
bison_bison_bison ENSBBBG00000013375
capra_hircus ENSCHIG00000022185
ovis_aries ENSOARG00000019850
ovis_aries ENSOARG00000019853
capra_hircus ENSCHIG00000013204
bison_bison_bison ENSBBBG00000013383
bos_taurus ENSBTAG00000051874
bos_mutus ENSBMUG00000000294
loxodonta_africana ENSLAFG00000030062
loxodonta_africana ENSLAFG00000031739
loxodonta_africana ENSLAFG00000028617
procavia_capensis ENSPCAG00000011089
