procavia_capensis ENSPCAG00000002842
anolis_carolinensis ENSACAG00000000993
saimiri_boliviensis_boliviensis ENSSBOG00000032079
cebus_capucinus_imitator ENSCCAG00000025770
aotus_nancymaae ENSANAG00000036856
callithrix_jacchus ENSCJAG00000020638
pan_paniscus ENSPPAG00000031331
pan_troglodytes ENSPTRG00000018827
homo_sapiens ENSG00000112592
gorilla_gorilla ENSGGOG00000011840
pongo_abelii ENSPPYG00000017192
nomascus_leucogenys ENSNLEG00000000290
papio_anubis ENSPANG00000000569
theropithecus_gelada ENSTGEG00000028113
mandrillus_leucophaeus ENSMLEG00000016274
cercocebus_atys ENSCATG00000038716
chlorocebus_sabaeus ENSCSAG00000011839
macaca_fascicularis ENSMFAG00000031133
macaca_mulatta ENSMMUG00000019917
macaca_nemestrina ENSMNEG00000029894
colobus_angolensis_palliatus ENSCANG00000042506
piliocolobus_tephrosceles ENSPTEG00000010372
rhinopithecus_roxellana ENSRROG00000037144
rhinopithecus_bieti ENSRBIG00000021043
carlito_syrichta ENSTSYG00000001512
carlito_syrichta ENSTSYG00000035873
prolemur_simus ENSPSMG00000012796
propithecus_coquereli ENSPCOG00000024307
microcebus_murinus ENSMICG00000036607
otolemur_garnettii ENSOGAG00000013997
tupaia_belangeri ENSTBEG00000004700
castor_canadensis ENSCCNG00000030371
dipodomys_ordii ENSDORG00000023659
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000014767
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021997
mus_spicilegus ENSMSIG00000027981
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021096
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023411
rattus_norvegicus ENSRNOG00000001489
meriones_unguiculatus ENSMUGG00000018727
cricetulus_griseus_crigri-picr ENSCGRG00015015003
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001372
cricetulus_griseus_crigri_1.0 ENSCGRG00000012993
mesocricetus_auratus ENSMAUG00000019343
peromyscus_maniculatus_bairdii ENSPEMG00000013540
microtus_ochrogaster ENSMOCG00000006234
nannospalax_galili ENSNGAG00000012524
jaculus_jaculus ENSJJAG00000005220
oryctolagus_cuniculus ENSOCUG00000007979
bos_taurus ENSBTAG00000007686
bos_mutus ENSBMUG00000026202
bison_bison_bison ENSBBBG00000008000
capra_hircus ENSCHIG00000008033
ovis_aries ENSOARG00000005142
bos_mutus ENSBMUG00000001511
bos_taurus ENSBTAG00000002545
bison_bison_bison ENSBBBG00000019005
capra_hircus ENSCHIG00000004607
ovis_aries ENSOARG00000015944
tursiops_truncatus ENSTTRG00000014825
sus_scrofa ENSSSCG00000037372
vicugna_pacos ENSVPAG00000006523
mustela_putorius_furo ENSMPUG00000007213
neovison_vison ENSNVIG00000001837
ursus_americanus ENSUAMG00000003366
ursus_maritimus ENSUMAG00000008530
ailuropoda_melanoleuca ENSAMEG00000017055
canis_lupus_familiaris ENSCAFG00000004119
canis_lupus_dingo ENSCAFG00020019866
vulpes_vulpes ENSVVUG00000006960
panthera_tigris_altaica ENSPTIG00000001550
