scophthalmus_maximus ENSSMAG00000003965
labrus_bergylta ENSLBEG00000001184
poecilia_latipinna ENSPLAG00000012473
poecilia_mexicana ENSPMEG00000014905
poecilia_formosa ENSPFOG00000016111
poecilia_reticulata ENSPREG00000014499
xiphophorus_couchianus ENSXCOG00000011827
xiphophorus_maculatus ENSXMAG00000023209
gambusia_affinis ENSGAFG00000003542
fundulus_heteroclitus ENSFHEG00000019017
cyprinodon_variegatus ENSCVAG00000009867
kryptolebias_marmoratus ENSKMAG00000020747
mastacembelus_armatus ENSMAMG00000014560
monopterus_albus ENSMALG00000005308
pundamilia_nyererei ENSPNYG00000015602
maylandia_zebra ENSMZEG00005011609
astatotilapia_calliptera ENSACLG00000008261
haplochromis_burtoni ENSHBUG00000017645
neolamprologus_brichardi ENSNBRG00000006186
oreochromis_niloticus ENSONIG00000005498
amphilophus_citrinellus ENSACIG00000006477
amphiprion_ocellaris ENSAOCG00000023078
amphiprion_percula ENSAPEG00000006888
acanthochromis_polyacanthus ENSAPOG00000012156
stegastes_partitus ENSSPAG00000012843
oryzias_latipes_asm223469v1 ENSORLG00015002562
oryzias_latipes_asm223469v1 ENSORLG00015002512
oryzias_latipes_asm223467v1 ENSORLG00000010164
oryzias_latipes_asm223471v1 ENSORLG00020004259
oryzias_melastigma ENSOMEG00000004608
mola_mola ENSMMOG00000015915
mastacembelus_armatus ENSMAMG00000020284
anabas_testudineus ENSATEG00000021731
seriola_dumerili ENSSDUG00000021513
seriola_lalandi_dorsalis ENSSLDG00000025667
takifugu_rubripes ENSTRUG00000001409
tetraodon_nigroviridis ENSTNIG00000013797
cynoglossus_semilaevis ENSCSEG00000013953
hippocampus_comes ENSHCOG00000013886
gasterosteus_aculeatus ENSGACG00000016067
periophthalmus_magnuspinnatus ENSPMGG00000000738
gadus_morhua ENSGMOG00000012379
esox_lucius ENSELUG00000018981
astyanax_mexicanus ENSAMXG00000031903
pygocentrus_nattereri ENSPNAG00000000423
ictalurus_punctatus ENSIPUG00000006850
scleropages_formosus ENSSFOG00015014411
danio_rerio ENSDARG00000093448
paramormyrops_kingsleyae ENSPKIG00000014857
lepisosteus_oculatus ENSLOCG00000016811
anser_brachyrhynchus ENSABRG00000009105
anas_platyrhynchos_platyrhynchos ENSAPLG00000017567
calidris_pygmaea ENSCPGG00000008114
calidris_pugnax ENSCPUG00000012064
melopsittacus_undulatus ENSMUNG00000011257
junco_hyemalis ENSJHYG00000004101
zonotrichia_albicollis ENSZALG00000016325
serinus_canaria ENSSCAG00000011139
parus_major ENSPMJG00000001484
cyanistes_caeruleus ENSCCEG00000003047
coturnix_japonica ENSCJPG00005004032
meleagris_gallopavo ENSMGAG00000012326
gallus_gallus ENSGALG00000011483
numida_meleagris ENSNMEG00000020136
apteryx_owenii ENSAOWG00000007318
apteryx_haastii ENSAHAG00000013480
nothoprocta_perdicaria ENSNPEG00000006268
taeniopygia_guttata ENSTGUG00000009482
lonchura_striata_domestica ENSLSDG00000004625
