dasypus_novemcinctus ENSDNOG00000018081
colobus_angolensis_palliatus ENSCANG00000042039
bison_bison_bison ENSBBBG00000000648
cricetulus_griseus_crigri_1.0 ENSCGRG00000008152
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015618
loxodonta_africana ENSLAFG00000001003
echinops_telfairi ENSETEG00000004106
notamacropus_eugenii ENSMEUG00000008413
ornithorhynchus_anatinus ENSOANG00000021475
canis_lupus_dingo ENSCAFG00020016641
ursus_americanus ENSUAMG00000016974
cebus_capucinus_imitator ENSCCAG00000018780
meriones_unguiculatus ENSMUGG00000012317
latimeria_chalumnae ENSLACG00000002971
amphiprion_ocellaris ENSAOCG00000008729
gadus_morhua ENSGMOG00000006711
