zonotrichia_albicollis ENSZALG00000016470
junco_hyemalis ENSJHYG00000002067
serinus_canaria ENSSCAG00000011833
taeniopygia_guttata ENSTGUG00000008777
lonchura_striata_domestica ENSLSDG00000014208
parus_major ENSPMJG00000015173
cyanistes_caeruleus ENSCCEG00000008037
ficedula_albicollis ENSFALG00000011877
manacus_vitellinus ENSMVIG00005007486
lepidothrix_coronata ENSLCOG00000000078
calidris_pugnax ENSCPUG00000002630
calidris_pygmaea ENSCPGG00000013589
melopsittacus_undulatus ENSMUNG00000010444
anser_brachyrhynchus ENSABRG00000018107
anas_platyrhynchos_platyrhynchos ENSAPLG00000009863
coturnix_japonica ENSCJPG00005012149
meleagris_gallopavo ENSMGAG00000011180
gallus_gallus ENSGALG00000010561
numida_meleagris ENSNMEG00000018164
apteryx_haastii ENSAHAG00000012058
apteryx_rowi ENSARWG00000003647
apteryx_owenii ENSAOWG00000018770
dromaius_novaehollandiae ENSDNVG00000006355
nothoprocta_perdicaria ENSNPEG00000006953
crocodylus_porosus ENSCPRG00005013394
chelonoidis_abingdonii ENSCABG00000019620
gopherus_agassizii ENSGAGG00000002120
chrysemys_picta_bellii ENSCPBG00000024803
pelodiscus_sinensis ENSPSIG00000018046
pogona_vitticeps ENSPVIG00000022254
anolis_carolinensis ENSACAG00000008352
notechis_scutatus ENSNSUG00000015980
salvator_merianae ENSSMRG00000009942
sphenodon_punctatus ENSSPUG00000014858
phascolarctos_cinereus ENSPCIG00000010983
notamacropus_eugenii ENSMEUG00000005748
sarcophilus_harrisii ENSSHAG00000014025
monodelphis_domestica ENSMODG00000015289
castor_canadensis ENSCCNG00000018474
dipodomys_ordii ENSDORG00000002241
cavia_aperea ENSCAPG00000009759
cavia_porcellus ENSCPOG00000012194
octodon_degus ENSODEG00000011404
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011210
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005773
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004989
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009502
fukomys_damarensis ENSFDAG00000001096
chinchilla_lanigera ENSCLAG00000008061
oryctolagus_cuniculus ENSOCUG00000007217
ochotona_princeps ENSOPRG00000008150
carlito_syrichta ENSTSYG00000004284
capra_hircus ENSCHIG00000010173
ovis_aries ENSOARG00000009846
bos_taurus ENSBTAG00000003861
sus_scrofa ENSSSCG00000008497
bison_bison_bison ENSBBBG00000011530
bos_mutus ENSBMUG00000013765
tursiops_truncatus ENSTTRG00000006881
pteropus_vampyrus ENSPVAG00000013830
pan_troglodytes ENSPTRG00000043397
pan_paniscus ENSPPAG00000022036
gorilla_gorilla ENSGGOG00000041283
theropithecus_gelada ENSTGEG00000026911
echinops_telfairi ENSETEG00000009781
mus_spicilegus ENSMSIG00000008650
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022801
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000050668
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021888
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020876
rattus_norvegicus ENSRNOG00000025317
meriones_unguiculatus ENSMUGG00000014840
meriones_unguiculatus ENSMUGG00000014717
peromyscus_maniculatus_bairdii ENSPEMG00000011862
microtus_ochrogaster ENSMOCG00000012750
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022189
cricetulus_griseus_crigri_1.0 ENSCGRG00000004648
cricetulus_griseus_crigri-picr ENSCGRG00015017204
mesocricetus_auratus ENSMAUG00000018451
nannospalax_galili ENSNGAG00000002929
jaculus_jaculus ENSJJAG00000015127
ictidomys_tridecemlineatus ENSSTOG00000013881
spermophilus_dauricus ENSSDAG00000013548
urocitellus_parryii ENSUPAG00010004751
marmota_marmota_marmota ENSMMMG00000017576
myotis_lucifugus ENSMLUG00000003506
erinaceus_europaeus ENSEEUG00000007949
canis_lupus_familiaris ENSCAFG00000006041
vulpes_vulpes ENSVVUG00000007359
piliocolobus_tephrosceles ENSPTEG00000016185
gorilla_gorilla ENSGGOG00000042992
callithrix_jacchus ENSCJAG00000003790
tupaia_belangeri ENSTBEG00000014288
procavia_capensis ENSPCAG00000012983
ursus_maritimus ENSUMAG00000014770
ursus_americanus ENSUAMG00000015138
ailuropoda_melanoleuca ENSAMEG00000017542
mustela_putorius_furo ENSMPUG00000010020
neovison_vison ENSNVIG00000021261
vulpes_vulpes ENSVVUG00000018917
canis_lupus_dingo ENSCAFG00020022847
panthera_tigris_altaica ENSPTIG00000021056
panthera_pardus ENSPPRG00000003253
felis_catus ENSFCAG00000029034
vicugna_pacos ENSVPAG00000003301
equus_asinus_asinus ENSEASG00005007368
equus_caballus ENSECAG00000013489
propithecus_coquereli ENSPCOG00000017383
microcebus_murinus ENSMICG00000003312
prolemur_simus ENSPSMG00000020106
otolemur_garnettii ENSOGAG00000001387
pan_paniscus ENSPPAG00000043328
pan_troglodytes ENSPTRG00000011832
homo_sapiens ENSG00000152133
pongo_abelii ENSPPYG00000012494
rhinopithecus_roxellana ENSRROG00000039341
macaca_fascicularis ENSMFAG00000043245
macaca_mulatta ENSMMUG00000030867
macaca_nemestrina ENSMNEG00000029239
papio_anubis ENSPANG00000008265
mandrillus_leucophaeus ENSMLEG00000043401
cercocebus_atys ENSCATG00000041807
chlorocebus_sabaeus ENSCSAG00000012046
colobus_angolensis_palliatus ENSCANG00000039104
nomascus_leucogenys ENSNLEG00000035127
rhinopithecus_bieti ENSRBIG00000040541
saimiri_boliviensis_boliviensis ENSSBOG00000029397
cebus_capucinus_imitator ENSCCAG00000032499
aotus_nancymaae ENSANAG00000015896
gorilla_gorilla ENSGGOG00000005021
rhinopithecus_roxellana ENSRROG00000014332
dasypus_novemcinctus ENSDNOG00000010487
choloepus_hoffmanni ENSCHOG00000004377
loxodonta_africana ENSLAFG00000018602
ornithorhynchus_anatinus ENSOANG00000008080
xenopus_tropicalis ENSXETG00000018544
latimeria_chalumnae ENSLACG00000008344
takifugu_rubripes ENSTRUG00000024052
tetraodon_nigroviridis ENSTNIG00000001655
labrus_bergylta ENSLBEG00000021651
fundulus_heteroclitus ENSFHEG00000000556
cyprinodon_variegatus ENSCVAG00000014749
poecilia_mexicana ENSPMEG00000013602
poecilia_formosa ENSPFOG00000019450
poecilia_latipinna ENSPLAG00000022979
gambusia_affinis ENSGAFG00000005308
poecilia_reticulata ENSPREG00000007844
xiphophorus_maculatus ENSXMAG00000006508
xiphophorus_couchianus ENSXCOG00000007004
kryptolebias_marmoratus ENSKMAG00000008333
oryzias_latipes_asm223471v1 ENSORLG00020014127
oryzias_latipes_asm223469v1 ENSORLG00015023144
oryzias_latipes_asm223467v1 ENSORLG00000028418
oryzias_melastigma ENSOMEG00000019972
cynoglossus_semilaevis ENSCSEG00000012799
hippocampus_comes ENSHCOG00000000322
anabas_testudineus ENSATEG00000015556
monopterus_albus ENSMALG00000005008
amphiprion_ocellaris ENSAOCG00000003421
amphiprion_percula ENSAPEG00000023659
acanthochromis_polyacanthus ENSAPOG00000010617
stegastes_partitus ENSSPAG00000007690
gasterosteus_aculeatus ENSGACG00000004367
seriola_dumerili ENSSDUG00000002757
seriola_lalandi_dorsalis ENSSLDG00000024915
scophthalmus_maximus ENSSMAG00000010220
mola_mola ENSMMOG00000000729
mastacembelus_armatus ENSMAMG00000017392
astatotilapia_calliptera ENSACLG00000024037
haplochromis_burtoni ENSHBUG00000022661
maylandia_zebra ENSMZEG00005009727
neolamprologus_brichardi ENSNBRG00000019293
oreochromis_niloticus ENSONIG00000010082
pundamilia_nyererei ENSPNYG00000014257
neolamprologus_brichardi ENSNBRG00000012291
amphilophus_citrinellus ENSACIG00000007107
periophthalmus_magnuspinnatus ENSPMGG00000001681
gadus_morhua ENSGMOG00000018831
esox_lucius ENSELUG00000018037
pygocentrus_nattereri ENSPNAG00000000500
astyanax_mexicanus ENSAMXG00000043007
ictalurus_punctatus ENSIPUG00000018626
danio_rerio ENSDARG00000026892
scleropages_formosus ENSSFOG00015009032
paramormyrops_kingsleyae ENSPKIG00000024060
lepisosteus_oculatus ENSLOCG00000015919
petromyzon_marinus ENSPMAG00000007966
eptatretus_burgeri ENSEBUG00000002790
ciona_savignyi ENSCSAVG00000005908
drosophila_melanogaster FBgn0037490
caenorhabditis_elegans_strain_n2 WBGene00011451
saccharomyces_cerevisiae_strain_s288c YLR271W
