cyprinodon_variegatus ENSCVAG00000018741
fundulus_heteroclitus ENSFHEG00000023039
xiphophorus_maculatus ENSXMAG00000004636
xiphophorus_couchianus ENSXCOG00000012428
gambusia_affinis ENSGAFG00000012795
poecilia_latipinna ENSPLAG00000014523
poecilia_mexicana ENSPMEG00000018205
poecilia_formosa ENSPFOG00000005996
poecilia_reticulata ENSPREG00000000474
kryptolebias_marmoratus ENSKMAG00000021173
oryzias_latipes_asm223471v1 ENSORLG00020001009
oryzias_latipes_asm223467v1 ENSORLG00000024513
oryzias_latipes_asm223469v1 ENSORLG00015001628
oryzias_melastigma ENSOMEG00000010965
maylandia_zebra ENSMZEG00005008937
astatotilapia_calliptera ENSACLG00000018433
pundamilia_nyererei ENSPNYG00000003949
haplochromis_burtoni ENSHBUG00000020211
mastacembelus_armatus ENSMAMG00000009637
monopterus_albus ENSMALG00000003977
anabas_testudineus ENSATEG00000021023
scophthalmus_maximus ENSSMAG00000006592
cynoglossus_semilaevis ENSCSEG00000010771
amphiprion_ocellaris ENSAOCG00000015202
amphiprion_percula ENSAPEG00000020309
acanthochromis_polyacanthus ENSAPOG00000015614
stegastes_partitus ENSSPAG00000017543
seriola_dumerili ENSSDUG00000021405
takifugu_rubripes ENSTRUG00000019734
mola_mola ENSMMOG00000007581
labrus_bergylta ENSLBEG00000009925
hippocampus_comes ENSHCOG00000015974
periophthalmus_magnuspinnatus ENSPMGG00000007287
esox_lucius ENSELUG00000004222
pygocentrus_nattereri ENSPNAG00000017204
astyanax_mexicanus ENSAMXG00000005484
ictalurus_punctatus ENSIPUG00000015187
danio_rerio ENSDARG00000096003
pygocentrus_nattereri ENSPNAG00000014738
paramormyrops_kingsleyae ENSPKIG00000001009
scleropages_formosus ENSSFOG00015003866
lepisosteus_oculatus ENSLOCG00000011809
salvator_merianae ENSSMRG00000007366
pogona_vitticeps ENSPVIG00000011825
sphenodon_punctatus ENSSPUG00000010908
apteryx_rowi ENSARWG00000000554
apteryx_haastii ENSAHAG00000002277
apteryx_owenii ENSAOWG00000004628
dromaius_novaehollandiae ENSDNVG00000014007
nothoprocta_perdicaria ENSNPEG00000011422
gallus_gallus ENSGALG00000034645
coturnix_japonica ENSCJPG00005019998
numida_meleagris ENSNMEG00000013544
anser_brachyrhynchus ENSABRG00000007233
anas_platyrhynchos_platyrhynchos ENSAPLG00000019499
calidris_pugnax ENSCPUG00000000662
calidris_pygmaea ENSCPGG00000005296
lonchura_striata_domestica ENSLSDG00000005169
taeniopygia_guttata ENSTGUG00000010298
serinus_canaria ENSSCAG00000016437
parus_major ENSPMJG00000004884
cyanistes_caeruleus ENSCCEG00000001986
junco_hyemalis ENSJHYG00000002874
zonotrichia_albicollis ENSZALG00000006321
ficedula_albicollis ENSFALG00000008772
lepidothrix_coronata ENSLCOG00000016453
manacus_vitellinus ENSMVIG00005000625
melopsittacus_undulatus ENSMUNG00000010812
crocodylus_porosus ENSCPRG00005012672
chelonoidis_abingdonii ENSCABG00000012631
chelonoidis_abingdonii ENSCABG00000002065
gopherus_agassizii ENSGAGG00000024304
chrysemys_picta_bellii ENSCPBG00000024490
pelodiscus_sinensis ENSPSIG00000005062
