rattus_norvegicus ENSRNOG00000042602
meriones_unguiculatus ENSMUGG00000023285
cavia_aperea ENSCAPG00000013077
castor_canadensis ENSCCNG00000028491
spermophilus_dauricus ENSSDAG00000006790
spermophilus_dauricus ENSSDAG00000000889
colobus_angolensis_palliatus ENSCANG00000036099
rhinopithecus_roxellana ENSRROG00000045771
macaca_fascicularis ENSMFAG00000042749
saimiri_boliviensis_boliviensis ENSSBOG00000016422
carlito_syrichta ENSTSYG00000032177
propithecus_coquereli ENSPCOG00000009683
ursus_maritimus ENSUMAG00000015055
ursus_americanus ENSUAMG00000021600
ailuropoda_melanoleuca ENSAMEG00000002369
canis_lupus_familiaris ENSCAFG00000025329
canis_lupus_dingo ENSCAFG00020020345
vulpes_vulpes ENSVVUG00000001291
felis_catus ENSFCAG00000028426
bos_mutus ENSBMUG00000010992
bos_taurus ENSBTAG00000053138
capra_hircus ENSCHIG00000022846
ovis_aries ENSOARG00000014453
sus_scrofa ENSSSCG00000027870
equus_asinus_asinus ENSEASG00005018681
equus_caballus ENSECAG00000038260
dasypus_novemcinctus ENSDNOG00000005799
sarcophilus_harrisii ENSSHAG00000008542
melopsittacus_undulatus ENSMUNG00000006258
junco_hyemalis ENSJHYG00000000828
apteryx_haastii ENSAHAG00000016382
apteryx_owenii ENSAOWG00000007217
apteryx_rowi ENSARWG00000011842
nothoprocta_perdicaria ENSNPEG00000007239
crocodylus_porosus ENSCPRG00005000680
chrysemys_picta_bellii ENSCPBG00000008263
gopherus_agassizii ENSGAGG00000020465
sphenodon_punctatus ENSSPUG00000014047
