oryctolagus_cuniculus ENSOCUG00000021037
ochotona_princeps ENSOPRG00000010949
tupaia_belangeri ENSTBEG00000006530
pan_troglodytes ENSPTRG00000013927
pan_paniscus ENSPPAG00000032451
homo_sapiens ENSG00000183486
gorilla_gorilla ENSGGOG00000001554
pongo_abelii ENSPPYG00000011436
nomascus_leucogenys ENSNLEG00000008625
rhinopithecus_bieti ENSRBIG00000037804
rhinopithecus_roxellana ENSRROG00000031481
colobus_angolensis_palliatus ENSCANG00000003418
piliocolobus_tephrosceles ENSPTEG00000038476
cercocebus_atys ENSCATG00000035920
mandrillus_leucophaeus ENSMLEG00000037071
papio_anubis ENSPANG00000022204
macaca_fascicularis ENSMFAG00000046255
macaca_nemestrina ENSMNEG00000038461
macaca_mulatta ENSMMUG00000044257
theropithecus_gelada ENSTGEG00000023220
chlorocebus_sabaeus ENSCSAG00000008253
cebus_capucinus_imitator ENSCCAG00000029612
saimiri_boliviensis_boliviensis ENSSBOG00000029626
callithrix_jacchus ENSCJAG00000011303
aotus_nancymaae ENSANAG00000030389
carlito_syrichta ENSTSYG00000008529
propithecus_coquereli ENSPCOG00000025353
prolemur_simus ENSPSMG00000023200
microcebus_murinus ENSMICG00000012345
otolemur_garnettii ENSOGAG00000006851
ursus_maritimus ENSUMAG00000025633
ursus_americanus ENSUAMG00000026737
ailuropoda_melanoleuca ENSAMEG00000010438
neovison_vison ENSNVIG00000004991
mustela_putorius_furo ENSMPUG00000008716
canis_lupus_familiaris ENSCAFG00000010167
canis_lupus_dingo ENSCAFG00020016534
vulpes_vulpes ENSVVUG00000016483
myotis_lucifugus ENSMLUG00000024389
myotis_lucifugus ENSMLUG00000014548
pteropus_vampyrus ENSPVAG00000005199
equus_caballus ENSECAG00000017220
equus_asinus_asinus ENSEASG00005004002
tursiops_truncatus ENSTTRG00000000681
sus_scrofa ENSSSCG00000012076
vicugna_pacos ENSVPAG00000012212
ovis_aries ENSOARG00000010231
capra_hircus ENSCHIG00000014150
bos_mutus ENSBMUG00000018867
bos_taurus ENSBTAG00000008471
bison_bison_bison ENSBBBG00000013811
loxodonta_africana ENSLAFG00000009018
procavia_capensis ENSPCAG00000015038
echinops_telfairi ENSETEG00000001050
anser_brachyrhynchus ENSABRG00000008287
coturnix_japonica ENSCJPG00005008653
nothoprocta_perdicaria ENSNPEG00000000246
