saimiri_boliviensis_boliviensis ENSSBOG00000030535
jaculus_jaculus ENSJJAG00000020560
meriones_unguiculatus ENSMUGG00000015550
mus_spicilegus ENSMSIG00000008818
octodon_degus ENSODEG00000009040
urocitellus_parryii ENSUPAG00010010418
spermophilus_dauricus ENSSDAG00000017313
macaca_fascicularis ENSMFAG00000010806
pan_troglodytes ENSPTRG00000045048
aotus_nancymaae ENSANAG00000022395
aotus_nancymaae ENSANAG00000034641
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003248
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003543
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019975
mesocricetus_auratus ENSMAUG00000000966
propithecus_coquereli ENSPCOG00000026952
propithecus_coquereli ENSPCOG00000018069
canis_lupus_dingo ENSCAFG00020005450
capra_hircus ENSCHIG00000010301
bison_bison_bison ENSBBBG00000013333
gambusia_affinis ENSGAFG00000014472
