myotis_lucifugus ENSMLUG00000013488
pteropus_vampyrus ENSPVAG00000001601
equus_asinus_asinus ENSEASG00005013650
equus_caballus ENSECAG00000006648
ovis_aries ENSOARG00000009071
capra_hircus ENSCHIG00000016361
bos_mutus ENSBMUG00000019569
bos_taurus ENSBTAG00000006805
bison_bison_bison ENSBBBG00000016111
tursiops_truncatus ENSTTRG00000014028
vicugna_pacos ENSVPAG00000004915
sus_scrofa ENSSSCG00000026699
ursus_maritimus ENSUMAG00000023146
ursus_americanus ENSUAMG00000017156
ailuropoda_melanoleuca ENSAMEG00000012902
mustela_putorius_furo ENSMPUG00000006445
neovison_vison ENSNVIG00000007309
canis_lupus_dingo ENSCAFG00020013017
canis_lupus_familiaris ENSCAFG00000029871
vulpes_vulpes ENSVVUG00000008548
panthera_pardus ENSPPRG00000015688
panthera_tigris_altaica ENSPTIG00000007232
felis_catus ENSFCAG00000032168
pan_paniscus ENSPPAG00000028186
pan_troglodytes ENSPTRG00000011117
homo_sapiens ENSG00000167384
gorilla_gorilla ENSGGOG00000010173
pongo_abelii ENSPPYG00000010090
nomascus_leucogenys ENSNLEG00000001601
piliocolobus_tephrosceles ENSPTEG00000031664
colobus_angolensis_palliatus ENSCANG00000031451
rhinopithecus_roxellana ENSRROG00000029743
rhinopithecus_bieti ENSRBIG00000015364
theropithecus_gelada ENSTGEG00000018771
mandrillus_leucophaeus ENSMLEG00000030791
papio_anubis ENSPANG00000005271
cercocebus_atys ENSCATG00000028106
macaca_mulatta ENSMMUG00000001193
macaca_fascicularis ENSMFAG00000001281
macaca_nemestrina ENSMNEG00000044960
chlorocebus_sabaeus ENSCSAG00000003312
cebus_capucinus_imitator ENSCCAG00000025389
saimiri_boliviensis_boliviensis ENSSBOG00000021514
callithrix_jacchus ENSCJAG00000013239
aotus_nancymaae ENSANAG00000038332
carlito_syrichta ENSTSYG00000012856
propithecus_coquereli ENSPCOG00000024528
microcebus_murinus ENSMICG00000036076
prolemur_simus ENSPSMG00000025350
otolemur_garnettii ENSOGAG00000006831
ochotona_princeps ENSOPRG00000007216
oryctolagus_cuniculus ENSOCUG00000029639
tupaia_belangeri ENSTBEG00000008784
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003979
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009724
fukomys_damarensis ENSFDAG00000000468
chinchilla_lanigera ENSCLAG00000003922
octodon_degus ENSODEG00000010071
cavia_porcellus ENSCPOG00000034649
urocitellus_parryii ENSUPAG00010021813
ictidomys_tridecemlineatus ENSSTOG00000028221
spermophilus_dauricus ENSSDAG00000009936
marmota_marmota_marmota ENSMMMG00000016049
mus_spicilegus ENSMSIG00000000989
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030414
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000057101
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029320
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021171
rattus_norvegicus ENSRNOG00000029336
meriones_unguiculatus ENSMUGG00000020853
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019378
cricetulus_griseus_crigri_1.0 ENSCGRG00000014877
cricetulus_griseus_crigri-picr ENSCGRG00015009444
mesocricetus_auratus ENSMAUG00000007945
microtus_ochrogaster ENSMOCG00000020832
peromyscus_maniculatus_bairdii ENSPEMG00000009190
nannospalax_galili ENSNGAG00000015381
castor_canadensis ENSCCNG00000001294
echinops_telfairi ENSETEG00000004383
echinops_telfairi ENSETEG00000015849
procavia_capensis ENSPCAG00000000120
dasypus_novemcinctus ENSDNOG00000006444
erinaceus_europaeus ENSEEUG00000013645
notechis_scutatus ENSNSUG00000002157
notechis_scutatus ENSNSUG00000000313
