ochotona_princeps ENSOPRG00000013998
oryctolagus_cuniculus ENSOCUG00000009684
tupaia_belangeri ENSTBEG00000005730
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016893
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041961
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016051
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016840
meriones_unguiculatus ENSMUGG00000023507
microtus_ochrogaster ENSMOCG00000007694
peromyscus_maniculatus_bairdii ENSPEMG00000005713
cricetulus_griseus_crigri_1.0 ENSCGRG00000012478
cricetulus_griseus_crigri-picr ENSCGRG00015003880
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000255
mesocricetus_auratus ENSMAUG00000016067
nannospalax_galili ENSNGAG00000019253
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007746
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017493
fukomys_damarensis ENSFDAG00000010794
chinchilla_lanigera ENSCLAG00000011880
octodon_degus ENSODEG00000017168
cavia_porcellus ENSCPOG00000013801
cavia_aperea ENSCAPG00000009001
ictidomys_tridecemlineatus ENSSTOG00000021823
urocitellus_parryii ENSUPAG00010002866
marmota_marmota_marmota ENSMMMG00000017648
gorilla_gorilla ENSGGOG00000008289
homo_sapiens ENSG00000183579
pan_troglodytes ENSPTRG00000014211
pan_paniscus ENSPPAG00000029638
pongo_abelii ENSPPYG00000011679
nomascus_leucogenys ENSNLEG00000002538
papio_anubis ENSPANG00000008280
theropithecus_gelada ENSTGEG00000026185
cercocebus_atys ENSCATG00000040221
mandrillus_leucophaeus ENSMLEG00000017041
macaca_fascicularis ENSMFAG00000041282
macaca_mulatta ENSMMUG00000000025
macaca_nemestrina ENSMNEG00000036365
chlorocebus_sabaeus ENSCSAG00000009939
rhinopithecus_roxellana ENSRROG00000042535
rhinopithecus_bieti ENSRBIG00000004006
piliocolobus_tephrosceles ENSPTEG00000023495
colobus_angolensis_palliatus ENSCANG00000016558
saimiri_boliviensis_boliviensis ENSSBOG00000031177
callithrix_jacchus ENSCJAG00000045083
cebus_capucinus_imitator ENSCCAG00000034406
aotus_nancymaae ENSANAG00000033384
carlito_syrichta ENSTSYG00000007725
propithecus_coquereli ENSPCOG00000012788
microcebus_murinus ENSMICG00000004243
prolemur_simus ENSPSMG00000013978
otolemur_garnettii ENSOGAG00000031763
myotis_lucifugus ENSMLUG00000011996
pteropus_vampyrus ENSPVAG00000009807
equus_asinus_asinus ENSEASG00005010043
equus_caballus ENSECAG00000011694
bos_mutus ENSBMUG00000025102
bos_taurus ENSBTAG00000022036
bison_bison_bison ENSBBBG00000010609
capra_hircus ENSCHIG00000011353
tursiops_truncatus ENSTTRG00000011853
sus_scrofa ENSSSCG00000009971
erinaceus_europaeus ENSEEUG00000002786
sorex_araneus ENSSARG00000010532
ovis_aries ENSOARG00000003095
ursus_americanus ENSUAMG00000012616
ursus_maritimus ENSUMAG00000015952
ailuropoda_melanoleuca ENSAMEG00000008436
neovison_vison ENSNVIG00000003960
mustela_putorius_furo ENSMPUG00000013519
canis_lupus_dingo ENSCAFG00020000221
canis_lupus_familiaris ENSCAFG00000011973
vulpes_vulpes ENSVVUG00000025796
panthera_pardus ENSPPRG00000020179
panthera_tigris_altaica ENSPTIG00000012757
felis_catus ENSFCAG00000022680
procavia_capensis ENSPCAG00000002293
loxodonta_africana ENSLAFG00000031490
dipodomys_ordii ENSDORG00000001605
echinops_telfairi ENSETEG00000002102
dasypus_novemcinctus ENSDNOG00000007391
choloepus_hoffmanni ENSCHOG00000001916
phascolarctos_cinereus ENSPCIG00000006210
notamacropus_eugenii ENSMEUG00000004289
sarcophilus_harrisii ENSSHAG00000002703
monodelphis_domestica ENSMODG00000008580
ornithorhynchus_anatinus ENSOANG00000008816
taeniopygia_guttata ENSTGUG00000007950
taeniopygia_guttata ENSTGUG00000007954
lepidothrix_coronata ENSLCOG00000012501
manacus_vitellinus ENSMVIG00005014963
lonchura_striata_domestica ENSLSDG00000012569
serinus_canaria ENSSCAG00000005517
ficedula_albicollis ENSFALG00000008300
cyanistes_caeruleus ENSCCEG00000016025
parus_major ENSPMJG00000013427
zonotrichia_albicollis ENSZALG00000001360
junco_hyemalis ENSJHYG00000015455
melopsittacus_undulatus ENSMUNG00000013161
calidris_pygmaea ENSCPGG00000001505
calidris_pugnax ENSCPUG00000006063
anser_brachyrhynchus ENSABRG00000022289
anas_platyrhynchos_platyrhynchos ENSAPLG00000010783
coturnix_japonica ENSCJPG00005008525
meleagris_gallopavo ENSMGAG00000007184
gallus_gallus ENSGALG00000005803
numida_meleagris ENSNMEG00000021608
apteryx_owenii ENSAOWG00000014472
apteryx_rowi ENSARWG00000016579
apteryx_haastii ENSAHAG00000013143
dromaius_novaehollandiae ENSDNVG00000011054
nothoprocta_perdicaria ENSNPEG00000008352
crocodylus_porosus ENSCPRG00005010206
gopherus_agassizii ENSGAGG00000020271
chelonoidis_abingdonii ENSCABG00000022259
chrysemys_picta_bellii ENSCPBG00000027210
pelodiscus_sinensis ENSPSIG00000014749
sphenodon_punctatus ENSSPUG00000007370
notechis_scutatus ENSNSUG00000018645
pogona_vitticeps ENSPVIG00000017830
salvator_merianae ENSSMRG00000021038
sarcophilus_harrisii ENSSHAG00000004964
ovis_aries ENSOARG00000004793
