cercocebus_atys ENSCATG00000017566
marmota_marmota_marmota ENSMMMG00000009080
anolis_carolinensis ENSACAG00000008451
pogona_vitticeps ENSPVIG00000009504
notechis_scutatus ENSNSUG00000015824
salvator_merianae ENSSMRG00000023150
sphenodon_punctatus ENSSPUG00000007660
parus_major ENSPMJG00000008290
cyanistes_caeruleus ENSCCEG00000011082
ficedula_albicollis ENSFALG00000000915
junco_hyemalis ENSJHYG00000011552
zonotrichia_albicollis ENSZALG00000015133
serinus_canaria ENSSCAG00000003271
taeniopygia_guttata ENSTGUG00000007837
lonchura_striata_domestica ENSLSDG00000003732
manacus_vitellinus ENSMVIG00005019033
lepidothrix_coronata ENSLCOG00000013488
calidris_pugnax ENSCPUG00000004026
calidris_pygmaea ENSCPGG00000009883
melopsittacus_undulatus ENSMUNG00000005392
anser_brachyrhynchus ENSABRG00000018979
anas_platyrhynchos_platyrhynchos ENSAPLG00000021298
gallus_gallus ENSGALG00000001862
meleagris_gallopavo ENSMGAG00000004130
coturnix_japonica ENSCJPG00005020701
numida_meleagris ENSNMEG00000015838
apteryx_haastii ENSAHAG00000005386
apteryx_owenii ENSAOWG00000011492
apteryx_rowi ENSARWG00000005742
dromaius_novaehollandiae ENSDNVG00000012384
nothoprocta_perdicaria ENSNPEG00000014349
crocodylus_porosus ENSCPRG00005007202
chelonoidis_abingdonii ENSCABG00000008586
gopherus_agassizii ENSGAGG00000000519
chrysemys_picta_bellii ENSCPBG00000027983
propithecus_coquereli ENSPCOG00000027891
microcebus_murinus ENSMICG00000030490
prolemur_simus ENSPSMG00000007990
otolemur_garnettii ENSOGAG00000001559
carlito_syrichta ENSTSYG00000033519
cricetulus_griseus_crigri-picr ENSCGRG00015005929
cricetulus_griseus_crigri-picr ENSCGRG00015005963
cricetulus_griseus_crigri_1.0 ENSCGRG00000015758
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010902
mesocricetus_auratus ENSMAUG00000007479
peromyscus_maniculatus_bairdii ENSPEMG00000016199
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000009588
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018299
mus_spicilegus ENSMSIG00000004899
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018583
rattus_norvegicus ENSRNOG00000000251
meriones_unguiculatus ENSMUGG00000021442
nannospalax_galili ENSNGAG00000009287
jaculus_jaculus ENSJJAG00000014221
castor_canadensis ENSCCNG00000019113
ictidomys_tridecemlineatus ENSSTOG00000027866
urocitellus_parryii ENSUPAG00010000792
spermophilus_dauricus ENSSDAG00000011854
marmota_marmota_marmota ENSMMMG00000009086
cavia_aperea ENSCAPG00000015693
cavia_porcellus ENSCPOG00000002420
chinchilla_lanigera ENSCLAG00000007640
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016533
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014098
fukomys_damarensis ENSFDAG00000002464
ochotona_princeps ENSOPRG00000011121
ochotona_princeps ENSOPRG00000011204
oryctolagus_cuniculus ENSOCUG00000025291
pan_troglodytes ENSPTRG00000009688
pan_paniscus ENSPPAG00000040292
gorilla_gorilla ENSGGOG00000000010
homo_sapiens ENSG00000070526
pongo_abelii ENSPPYG00000008665
nomascus_leucogenys ENSNLEG00000002524
macaca_fascicularis ENSMFAG00000041499
macaca_mulatta ENSMMUG00000022408
macaca_nemestrina ENSMNEG00000031660
papio_anubis ENSPANG00000020018
theropithecus_gelada ENSTGEG00000004423
mandrillus_leucophaeus ENSMLEG00000034911
chlorocebus_sabaeus ENSCSAG00000005094
rhinopithecus_bieti ENSRBIG00000043994
rhinopithecus_roxellana ENSRROG00000004037
colobus_angolensis_palliatus ENSCANG00000039884
piliocolobus_tephrosceles ENSPTEG00000036843
cebus_capucinus_imitator ENSCCAG00000025577
saimiri_boliviensis_boliviensis ENSSBOG00000024609
callithrix_jacchus ENSCJAG00000013495
aotus_nancymaae ENSANAG00000019131
tupaia_belangeri ENSTBEG00000013781
dipodomys_ordii ENSDORG00000010250
ursus_americanus ENSUAMG00000013389
ursus_maritimus ENSUMAG00000013541
ailuropoda_melanoleuca ENSAMEG00000010401
mustela_putorius_furo ENSMPUG00000013427
neovison_vison ENSNVIG00000013010
canis_lupus_dingo ENSCAFG00020006223
canis_lupus_familiaris ENSCAFG00000005132
vulpes_vulpes ENSVVUG00000015172
panthera_tigris_altaica ENSPTIG00000015323
panthera_pardus ENSPPRG00000011324
felis_catus ENSFCAG00000004234
equus_asinus_asinus ENSEASG00005004294
equus_caballus ENSECAG00000010215
erinaceus_europaeus ENSEEUG00000001722
myotis_lucifugus ENSMLUG00000009671
pteropus_vampyrus ENSPVAG00000014257
bos_mutus ENSBMUG00000011160
bos_taurus ENSBTAG00000001998
bison_bison_bison ENSBBBG00000019727
capra_hircus ENSCHIG00000025600
ovis_aries ENSOARG00000006736
vicugna_pacos ENSVPAG00000011231
sus_scrofa ENSSSCG00000017172
loxodonta_africana ENSLAFG00000000363
procavia_capensis ENSPCAG00000000468
dasypus_novemcinctus ENSDNOG00000033321
notamacropus_eugenii ENSMEUG00000012579
sarcophilus_harrisii ENSSHAG00000015481
ornithorhynchus_anatinus ENSOANG00000011568
xenopus_tropicalis ENSXETG00000030412
pygocentrus_nattereri ENSPNAG00000028715
astyanax_mexicanus ENSAMXG00000036497
danio_rerio ENSDARG00000043816
pygocentrus_nattereri ENSPNAG00000010514
astyanax_mexicanus ENSAMXG00000017744
ictalurus_punctatus ENSIPUG00000004049
danio_rerio ENSDARG00000043814
mastacembelus_armatus ENSMAMG00000002776
mastacembelus_armatus ENSMAMG00000002750
anabas_testudineus ENSATEG00000004023
seriola_dumerili ENSSDUG00000013889
seriola_lalandi_dorsalis ENSSLDG00000017671
cynoglossus_semilaevis ENSCSEG00000013337
gasterosteus_aculeatus ENSGACG00000003091
labrus_bergylta ENSLBEG00000027241
labrus_bergylta ENSLBEG00000007422
labrus_bergylta ENSLBEG00000002410
monopterus_albus ENSMALG00000000605
fundulus_heteroclitus ENSFHEG00000010807
cyprinodon_variegatus ENSCVAG00000022004
poecilia_formosa ENSPFOG00000012566
poecilia_reticulata ENSPREG00000003696
poecilia_latipinna ENSPLAG00000001907
poecilia_mexicana ENSPMEG00000008761
xiphophorus_maculatus ENSXMAG00000015682
gambusia_affinis ENSGAFG00000005817
cyprinodon_variegatus ENSCVAG00000021991
fundulus_heteroclitus ENSFHEG00000010787
xiphophorus_maculatus ENSXMAG00000015685
