caenorhabditis_elegans_strain_n2 WBGene00001119
drosophila_melanogaster FBgn0031196
anolis_carolinensis ENSACAG00000001440
anolis_carolinensis ENSACAG00000025090
pogona_vitticeps ENSPVIG00000021640
notechis_scutatus ENSNSUG00000000138
salvator_merianae ENSSMRG00000014011
sphenodon_punctatus ENSSPUG00000002370
calidris_pugnax ENSCPUG00000017393
calidris_pygmaea ENSCPGG00000009201
lonchura_striata_domestica ENSLSDG00000011032
taeniopygia_guttata ENSTGUG00000003841
serinus_canaria ENSSCAG00000012623
junco_hyemalis ENSJHYG00000017649
zonotrichia_albicollis ENSZALG00000004872
ficedula_albicollis ENSFALG00000004391
parus_major ENSPMJG00000008446
cyanistes_caeruleus ENSCCEG00000000354
manacus_vitellinus ENSMVIG00005008231
lepidothrix_coronata ENSLCOG00000007617
melopsittacus_undulatus ENSMUNG00000005005
anser_brachyrhynchus ENSABRG00000022862
anas_platyrhynchos_platyrhynchos ENSAPLG00000007325
gallus_gallus ENSGALG00000030877
coturnix_japonica ENSCJPG00005016875
meleagris_gallopavo ENSMGAG00000009479
numida_meleagris ENSNMEG00000021381
apteryx_owenii ENSAOWG00000013090
apteryx_haastii ENSAHAG00000011166
apteryx_rowi ENSARWG00000004966
dromaius_novaehollandiae ENSDNVG00000006136
crocodylus_porosus ENSCPRG00005002338
chrysemys_picta_bellii ENSCPBG00000021784
gopherus_agassizii ENSGAGG00000001936
pelodiscus_sinensis ENSPSIG00000016797
gopherus_agassizii ENSGAGG00000018489
chelonoidis_abingdonii ENSCABG00000022455
nothoprocta_perdicaria ENSNPEG00000010838
notechis_scutatus ENSNSUG00000003588
ursus_maritimus ENSUMAG00000001077
ursus_americanus ENSUAMG00000026163
ailuropoda_melanoleuca ENSAMEG00000010646
neovison_vison ENSNVIG00000023394
mustela_putorius_furo ENSMPUG00000015102
canis_lupus_familiaris ENSCAFG00000019274
canis_lupus_dingo ENSCAFG00020025718
vulpes_vulpes ENSVVUG00000016181
panthera_pardus ENSPPRG00000002681
panthera_tigris_altaica ENSPTIG00000014732
felis_catus ENSFCAG00000012278
capra_hircus ENSCHIG00000022309
ovis_aries ENSOARG00000001882
bison_bison_bison ENSBBBG00000022163
bos_taurus ENSBTAG00000004502
propithecus_coquereli ENSPCOG00000021045
cavia_aperea ENSCAPG00000017197
macaca_fascicularis ENSMFAG00000037147
macaca_mulatta ENSMMUG00000007569
macaca_nemestrina ENSMNEG00000045470
cercocebus_atys ENSCATG00000032357
mandrillus_leucophaeus ENSMLEG00000030047
theropithecus_gelada ENSTGEG00000025165
papio_anubis ENSPANG00000016182
chlorocebus_sabaeus ENSCSAG00000009986
colobus_angolensis_palliatus ENSCANG00000037808
piliocolobus_tephrosceles ENSPTEG00000010998
rhinopithecus_roxellana ENSRROG00000029599
rhinopithecus_bieti ENSRBIG00000033316
pan_paniscus ENSPPAG00000028103
pan_troglodytes ENSPTRG00000007702
homo_sapiens ENSG00000103351
gorilla_gorilla ENSGGOG00000016576
pongo_abelii ENSPPYG00000029626
nomascus_leucogenys ENSNLEG00000009663
saimiri_boliviensis_boliviensis ENSSBOG00000035935
cebus_capucinus_imitator ENSCCAG00000010446
callithrix_jacchus ENSCJAG00000019656
aotus_nancymaae ENSANAG00000029093
carlito_syrichta ENSTSYG00000013126
prolemur_simus ENSPSMG00000017567
microcebus_murinus ENSMICG00000009075
otolemur_garnettii ENSOGAG00000015905
ictidomys_tridecemlineatus ENSSTOG00000008365
urocitellus_parryii ENSUPAG00010018943
spermophilus_dauricus ENSSDAG00000008011
marmota_marmota_marmota ENSMMMG00000007416
dipodomys_ordii ENSDORG00000009754
chinchilla_lanigera ENSCLAG00000012080
cavia_porcellus ENSCPOG00000001506
octodon_degus ENSODEG00000013693
octodon_degus ENSODEG00000002565
octodon_degus ENSODEG00000014539
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002345
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014230
fukomys_damarensis ENSFDAG00000002972
castor_canadensis ENSCCNG00000021082
tursiops_truncatus ENSTTRG00000016983
vicugna_pacos ENSVPAG00000011431
myotis_lucifugus ENSMLUG00000017722
pteropus_vampyrus ENSPVAG00000016542
equus_asinus_asinus ENSEASG00005001131
equus_caballus ENSECAG00000016981
tupaia_belangeri ENSTBEG00000002034
oryctolagus_cuniculus ENSOCUG00000011759
dasypus_novemcinctus ENSDNOG00000013440
choloepus_hoffmanni ENSCHOG00000006699
loxodonta_africana ENSLAFG00000007865
sus_scrofa ENSSSCG00000007955
bos_mutus ENSBMUG00000001464
myotis_lucifugus ENSMLUG00000028661
sorex_araneus ENSSARG00000002658
erinaceus_europaeus ENSEEUG00000010630
microtus_ochrogaster ENSMOCG00000004106
peromyscus_maniculatus_bairdii ENSPEMG00000023216
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020256
cricetulus_griseus_crigri_1.0 ENSCGRG00000007812
cricetulus_griseus_crigri-picr ENSCGRG00015013893
mesocricetus_auratus ENSMAUG00000022227
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000014232
mus_spicilegus ENSMSIG00000026298
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020393
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016101
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021285
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021287
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000093575
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020391
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016099
rattus_norvegicus ENSRNOG00000007117
meriones_unguiculatus ENSMUGG00000017171
nannospalax_galili ENSNGAG00000002342
jaculus_jaculus ENSJJAG00000000945
ochotona_princeps ENSOPRG00000004486
procavia_capensis ENSPCAG00000009785
echinops_telfairi ENSETEG00000005771
phascolarctos_cinereus ENSPCIG00000010609
notamacropus_eugenii ENSMEUG00000005418
sarcophilus_harrisii ENSSHAG00000015334
monodelphis_domestica ENSMODG00000016420
ornithorhynchus_anatinus ENSOANG00000010329
xenopus_tropicalis ENSXETG00000010321
latimeria_chalumnae ENSLACG00000007607
hippocampus_comes ENSHCOG00000009484
hippocampus_comes ENSHCOG00000011685
fundulus_heteroclitus ENSFHEG00000015121
cyprinodon_variegatus ENSCVAG00000001042
xiphophorus_maculatus ENSXMAG00000008801
xiphophorus_couchianus ENSXCOG00000003703
gambusia_affinis ENSGAFG00000014263
poecilia_formosa ENSPFOG00000024485
poecilia_mexicana ENSPMEG00000021299
poecilia_latipinna ENSPLAG00000023390
poecilia_reticulata ENSPREG00000008227
kryptolebias_marmoratus ENSKMAG00000006719
oryzias_latipes_asm223469v1 ENSORLG00015015068
oryzias_latipes_asm223469v1 ENSORLG00015015079
oryzias_latipes_asm223467v1 ENSORLG00000006654
oryzias_latipes_asm223471v1 ENSORLG00020019595
oryzias_melastigma ENSOMEG00000019297
amphilophus_citrinellus ENSACIG00000010350
takifugu_rubripes ENSTRUG00000010096
tetraodon_nigroviridis ENSTNIG00000010069
tetraodon_nigroviridis ENSTNIG00000013529
cynoglossus_semilaevis ENSCSEG00000007414
