fundulus_heteroclitus ENSFHEG00000012065
kryptolebias_marmoratus ENSKMAG00000015605
cynoglossus_semilaevis ENSCSEG00000018316
amphiprion_percula ENSAPEG00000012056
amphiprion_ocellaris ENSAOCG00000001869
acanthochromis_polyacanthus ENSAPOG00000001327
stegastes_partitus ENSSPAG00000009153
haplochromis_burtoni ENSHBUG00000000991
pundamilia_nyererei ENSPNYG00000012067
astatotilapia_calliptera ENSACLG00000027771
maylandia_zebra ENSMZEG00005027270
neolamprologus_brichardi ENSNBRG00000008210
oreochromis_niloticus ENSONIG00000001564
seriola_lalandi_dorsalis ENSSLDG00000011362
seriola_dumerili ENSSDUG00000014136
scophthalmus_maximus ENSSMAG00000006174
mastacembelus_armatus ENSMAMG00000007133
monopterus_albus ENSMALG00000012089
anabas_testudineus ENSATEG00000017427
tetraodon_nigroviridis ENSTNIG00000009871
tetraodon_nigroviridis ENSTNIG00000009870
takifugu_rubripes ENSTRUG00000020935
gasterosteus_aculeatus ENSGACG00000011392
labrus_bergylta ENSLBEG00000023604
hippocampus_comes ENSHCOG00000019851
esox_lucius ENSELUG00000017945
pygocentrus_nattereri ENSPNAG00000000958
astyanax_mexicanus ENSAMXG00000030654
danio_rerio ENSDARG00000092858
lepisosteus_oculatus ENSLOCG00000012943
manacus_vitellinus ENSMVIG00005015418
lepidothrix_coronata ENSLCOG00000001936
parus_major ENSPMJG00000003627
cyanistes_caeruleus ENSCCEG00000009615
ficedula_albicollis ENSFALG00000006861
serinus_canaria ENSSCAG00000003011
junco_hyemalis ENSJHYG00000008285
lonchura_striata_domestica ENSLSDG00000011832
calidris_pygmaea ENSCPGG00000012286
calidris_pugnax ENSCPUG00000009787
gallus_gallus ENSGALG00000050806
coturnix_japonica ENSCJPG00005012660
anser_brachyrhynchus ENSABRG00000001536
melopsittacus_undulatus ENSMUNG00000008071
gopherus_agassizii ENSGAGG00000012937
ciona_intestinalis ENSCING00000007452
ciona_savignyi ENSCSAVG00000009814
