spermophilus_dauricus ENSSDAG00000008799
marmota_marmota_marmota ENSMMMG00000000126
urocitellus_parryii ENSUPAG00010022229
ictidomys_tridecemlineatus ENSSTOG00000029195
oryctolagus_cuniculus ENSOCUG00000006712
rhinopithecus_bieti ENSRBIG00000030206
rhinopithecus_bieti ENSRBIG00000039756
rhinopithecus_roxellana ENSRROG00000028641
colobus_angolensis_palliatus ENSCANG00000009738
piliocolobus_tephrosceles ENSPTEG00000026210
macaca_mulatta ENSMMUG00000004799
macaca_fascicularis ENSMFAG00000027324
macaca_nemestrina ENSMNEG00000018279
mandrillus_leucophaeus ENSMLEG00000021884
cercocebus_atys ENSCATG00000011239
papio_anubis ENSPANG00000023472
theropithecus_gelada ENSTGEG00000000824
chlorocebus_sabaeus ENSCSAG00000018604
homo_sapiens ENSG00000120696
gorilla_gorilla ENSGGOG00000008962
pan_troglodytes ENSPTRG00000045760
pan_paniscus ENSPPAG00000033088
pongo_abelii ENSPPYG00000005312
nomascus_leucogenys ENSNLEG00000028454
saimiri_boliviensis_boliviensis ENSSBOG00000011075
callithrix_jacchus ENSCJAG00000017761
aotus_nancymaae ENSANAG00000019743
carlito_syrichta ENSTSYG00000012421
prolemur_simus ENSPSMG00000006064
microcebus_murinus ENSMICG00000014566
propithecus_coquereli ENSPCOG00000005378
otolemur_garnettii ENSOGAG00000024425
tupaia_belangeri ENSTBEG00000004375
capra_hircus ENSCHIG00000008970
ovis_aries ENSOARG00000006952
bos_mutus ENSBMUG00000005561
bos_taurus ENSBTAG00000039823
bison_bison_bison ENSBBBG00000015058
tursiops_truncatus ENSTTRG00000010353
sus_scrofa ENSSSCG00000037413
vicugna_pacos ENSVPAG00000002563
equus_caballus ENSECAG00000001308
equus_asinus_asinus ENSEASG00005015712
ursus_americanus ENSUAMG00000003926
ursus_maritimus ENSUMAG00000014764
ailuropoda_melanoleuca ENSAMEG00000018934
neovison_vison ENSNVIG00000001658
mustela_putorius_furo ENSMPUG00000001878
canis_lupus_familiaris ENSCAFG00000024949
canis_lupus_dingo ENSCAFG00020018174
vulpes_vulpes ENSVVUG00000028758
panthera_pardus ENSPPRG00000017314
panthera_tigris_altaica ENSPTIG00000005920
felis_catus ENSFCAG00000006263
myotis_lucifugus ENSMLUG00000029916
rhinopithecus_roxellana ENSRROG00000026268
rhinopithecus_bieti ENSRBIG00000037297
piliocolobus_tephrosceles ENSPTEG00000026188
colobus_angolensis_palliatus ENSCANG00000007598
theropithecus_gelada ENSTGEG00000000813
cercocebus_atys ENSCATG00000011867
mandrillus_leucophaeus ENSMLEG00000004429
macaca_fascicularis ENSMFAG00000002271
macaca_mulatta ENSMMUG00000007884
macaca_nemestrina ENSMNEG00000038336
papio_anubis ENSPANG00000016775
chlorocebus_sabaeus ENSCSAG00000018601
pan_troglodytes ENSPTRG00000044355
pan_paniscus ENSPPAG00000005767
gorilla_gorilla ENSGGOG00000028568
homo_sapiens ENSG00000165572
pongo_abelii ENSPPYG00000005311
nomascus_leucogenys ENSNLEG00000030487
saimiri_boliviensis_boliviensis ENSSBOG00000008935
cebus_capucinus_imitator ENSCCAG00000023579
callithrix_jacchus ENSCJAG00000017764
aotus_nancymaae ENSANAG00000009761
propithecus_coquereli ENSPCOG00000028102
propithecus_coquereli ENSPCOG00000028627
oryctolagus_cuniculus ENSOCUG00000005273
ochotona_princeps ENSOPRG00000005142
ochotona_princeps ENSOPRG00000017116
erinaceus_europaeus ENSEEUG00000004723
sorex_araneus ENSSARG00000002263
myotis_lucifugus ENSMLUG00000017068
capra_hircus ENSCHIG00000008480
ovis_aries ENSOARG00000006943
bos_taurus ENSBTAG00000008656
bos_mutus ENSBMUG00000005564
bison_bison_bison ENSBBBG00000002790
vicugna_pacos ENSVPAG00000002055
sus_scrofa ENSSSCG00000031378
