choloepus_hoffmanni ENSCHOG00000007577
dasypus_novemcinctus ENSDNOG00000032839
loxodonta_africana ENSLAFG00000028655
procavia_capensis ENSPCAG00000015436
echinops_telfairi ENSETEG00000018031
chinchilla_lanigera ENSCLAG00000004931
octodon_degus ENSODEG00000000832
cavia_porcellus ENSCPOG00000014501
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003945
fukomys_damarensis ENSFDAG00000016947
dipodomys_ordii ENSDORG00000012098
cricetulus_griseus_crigri_1.0 ENSCGRG00000012956
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001736
cricetulus_griseus_crigri-picr ENSCGRG00015019346
mesocricetus_auratus ENSMAUG00000000922
microtus_ochrogaster ENSMOCG00000016956
peromyscus_maniculatus_bairdii ENSPEMG00000011250
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034517
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034551
mus_spicilegus ENSMSIG00000014469
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033351
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031891
rattus_norvegicus ENSRNOG00000037799
nannospalax_galili ENSNGAG00000022021
jaculus_jaculus ENSJJAG00000004610
ictidomys_tridecemlineatus ENSSTOG00000015440
urocitellus_parryii ENSUPAG00010010763
spermophilus_dauricus ENSSDAG00000015990
marmota_marmota_marmota ENSMMMG00000011191
oryctolagus_cuniculus ENSOCUG00000000903
ochotona_princeps ENSOPRG00000016721
tupaia_belangeri ENSTBEG00000002365
pan_troglodytes ENSPTRG00000022065
pan_paniscus ENSPPAG00000031927
homo_sapiens ENSG00000165259
gorilla_gorilla ENSGGOG00000005551
pongo_abelii ENSPPYG00000020514
nomascus_leucogenys ENSNLEG00000002624
colobus_angolensis_palliatus ENSCANG00000036527
piliocolobus_tephrosceles ENSPTEG00000011256
rhinopithecus_bieti ENSRBIG00000035605
rhinopithecus_roxellana ENSRROG00000032767
theropithecus_gelada ENSTGEG00000026204
mandrillus_leucophaeus ENSMLEG00000029576
cercocebus_atys ENSCATG00000038854
papio_anubis ENSPANG00000014327
macaca_nemestrina ENSMNEG00000034200
macaca_fascicularis ENSMFAG00000003281
macaca_mulatta ENSMMUG00000020536
chlorocebus_sabaeus ENSCSAG00000010546
saimiri_boliviensis_boliviensis ENSSBOG00000031165
callithrix_jacchus ENSCJAG00000008295
cebus_capucinus_imitator ENSCCAG00000022480
aotus_nancymaae ENSANAG00000033694
carlito_syrichta ENSTSYG00000009619
prolemur_simus ENSPSMG00000004436
microcebus_murinus ENSMICG00000027640
otolemur_garnettii ENSOGAG00000031446
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000210
propithecus_coquereli ENSPCOG00000022769
myotis_lucifugus ENSMLUG00000027800
myotis_lucifugus ENSMLUG00000006649
pteropus_vampyrus ENSPVAG00000015095
equus_caballus ENSECAG00000024862
bos_mutus ENSBMUG00000015463
bos_taurus ENSBTAG00000051806
ovis_aries ENSOARG00000001832
capra_hircus ENSCHIG00000008366
tursiops_truncatus ENSTTRG00000000100
vicugna_pacos ENSVPAG00000003255
sus_scrofa ENSSSCG00000038744
ursus_americanus ENSUAMG00000027898
ursus_maritimus ENSUMAG00000023864
ailuropoda_melanoleuca ENSAMEG00000000875
mustela_putorius_furo ENSMPUG00000006315
neovison_vison ENSNVIG00000024548
canis_lupus_dingo ENSCAFG00020008813
canis_lupus_familiaris ENSCAFG00000017380
vulpes_vulpes ENSVVUG00000011303
panthera_pardus ENSPPRG00000018008
panthera_tigris_altaica ENSPTIG00000005986
felis_catus ENSFCAG00000005781
sorex_araneus ENSSARG00000009351
erinaceus_europaeus ENSEEUG00000011626
notamacropus_eugenii ENSMEUG00000003811
phascolarctos_cinereus ENSPCIG00000018657
sarcophilus_harrisii ENSSHAG00000014376
monodelphis_domestica ENSMODG00000014307
ornithorhynchus_anatinus ENSOANG00000003338
gallus_gallus ENSGALG00000007041
coturnix_japonica ENSCJPG00005016479
meleagris_gallopavo ENSMGAG00000004732
numida_meleagris ENSNMEG00000020685
anser_brachyrhynchus ENSABRG00000010585
anas_platyrhynchos_platyrhynchos ENSAPLG00000007946
calidris_pugnax ENSCPUG00000002713
calidris_pygmaea ENSCPGG00000018990
melopsittacus_undulatus ENSMUNG00000009148
apteryx_owenii ENSAOWG00000016353
apteryx_haastii ENSAHAG00000019201
apteryx_rowi ENSARWG00000004403
dromaius_novaehollandiae ENSDNVG00000000400
lepidothrix_coronata ENSLCOG00000002703
manacus_vitellinus ENSMVIG00005009429
parus_major ENSPMJG00000004669
cyanistes_caeruleus ENSCCEG00000004485
lonchura_striata_domestica ENSLSDG00000018218
serinus_canaria ENSSCAG00000002764
taeniopygia_guttata ENSTGUG00000002499
zonotrichia_albicollis ENSZALG00000015267
junco_hyemalis ENSJHYG00000008643
ficedula_albicollis ENSFALG00000004050
taeniopygia_guttata ENSTGUG00000015660
nothoprocta_perdicaria ENSNPEG00000006207
crocodylus_porosus ENSCPRG00005010091
chelonoidis_abingdonii ENSCABG00000004931
gopherus_agassizii ENSGAGG00000019289
chrysemys_picta_bellii ENSCPBG00000014476
pelodiscus_sinensis ENSPSIG00000003320
pogona_vitticeps ENSPVIG00000020791
anolis_carolinensis ENSACAG00000014116
notechis_scutatus ENSNSUG00000020630
salvator_merianae ENSSMRG00000008512
sphenodon_punctatus ENSSPUG00000013703
ornithorhynchus_anatinus ENSOANG00000021386
xenopus_tropicalis ENSXETG00000014523
latimeria_chalumnae ENSLACG00000001553
pygocentrus_nattereri ENSPNAG00000012094
astyanax_mexicanus ENSAMXG00000013448
ictalurus_punctatus ENSIPUG00000014044
danio_rerio ENSDARG00000079382
xiphophorus_maculatus ENSXMAG00000011901
gambusia_affinis ENSGAFG00000002059
poecilia_mexicana ENSPMEG00000007212
poecilia_mexicana ENSPMEG00000009046
poecilia_reticulata ENSPREG00000021474
poecilia_formosa ENSPFOG00000004291
poecilia_latipinna ENSPLAG00000022060
xiphophorus_couchianus ENSXCOG00000011664
fundulus_heteroclitus ENSFHEG00000014758
cyprinodon_variegatus ENSCVAG00000006549
kryptolebias_marmoratus ENSKMAG00000015839
oryzias_latipes_asm223471v1 ENSORLG00020021128
oryzias_latipes_asm223469v1 ENSORLG00015009173
oryzias_melastigma ENSOMEG00000014541
cynoglossus_semilaevis ENSCSEG00000018099
hippocampus_comes ENSHCOG00000003410
mastacembelus_armatus ENSMAMG00000014266
monopterus_albus ENSMALG00000010297
scophthalmus_maximus ENSSMAG00000011383
amphiprion_ocellaris ENSAOCG00000018870
amphiprion_percula ENSAPEG00000009867
acanthochromis_polyacanthus ENSAPOG00000008024
stegastes_partitus ENSSPAG00000010102
haplochromis_burtoni ENSHBUG00000002314
astatotilapia_calliptera ENSACLG00000024104
pundamilia_nyererei ENSPNYG00000000123
maylandia_zebra ENSMZEG00005006976
neolamprologus_brichardi ENSNBRG00000019968
oreochromis_niloticus ENSONIG00000017662
amphilophus_citrinellus ENSACIG00000013681
takifugu_rubripes ENSTRUG00000008150
gasterosteus_aculeatus ENSGACG00000018543
seriola_dumerili ENSSDUG00000011536
seriola_lalandi_dorsalis ENSSLDG00000024109
anabas_testudineus ENSATEG00000019627
labrus_bergylta ENSLBEG00000015313
mola_mola ENSMMOG00000009553
periophthalmus_magnuspinnatus ENSPMGG00000021376
gadus_morhua ENSGMOG00000004501
esox_lucius ENSELUG00000005479
scleropages_formosus ENSSFOG00015012057
paramormyrops_kingsleyae ENSPKIG00000022290
lepisosteus_oculatus ENSLOCG00000015046
petromyzon_marinus ENSPMAG00000004328
eptatretus_burgeri ENSEBUG00000013360
