calidris_pugnax ENSCPUG00000002786
calidris_pygmaea ENSCPGG00000002701
melopsittacus_undulatus ENSMUNG00000015268
lonchura_striata_domestica ENSLSDG00000016676
taeniopygia_guttata ENSTGUG00000008175
serinus_canaria ENSSCAG00000007495
junco_hyemalis ENSJHYG00000011257
zonotrichia_albicollis ENSZALG00000010328
ficedula_albicollis ENSFALG00000010654
cyanistes_caeruleus ENSCCEG00000010844
parus_major ENSPMJG00000012846
lepidothrix_coronata ENSLCOG00000008075
manacus_vitellinus ENSMVIG00005002531
meleagris_gallopavo ENSMGAG00000011279
gallus_gallus ENSGALG00000011271
coturnix_japonica ENSCJPG00005004898
numida_meleagris ENSNMEG00000006084
anser_brachyrhynchus ENSABRG00000010604
anas_platyrhynchos_platyrhynchos ENSAPLG00000013979
apteryx_owenii ENSAOWG00000009763
apteryx_rowi ENSARWG00000011545
apteryx_haastii ENSAHAG00000017251
dromaius_novaehollandiae ENSDNVG00000014420
nothoprocta_perdicaria ENSNPEG00000013920
crocodylus_porosus ENSCPRG00005002637
gopherus_agassizii ENSGAGG00000016255
chelonoidis_abingdonii ENSCABG00000022088
chrysemys_picta_bellii ENSCPBG00000000287
pelodiscus_sinensis ENSPSIG00000003594
pogona_vitticeps ENSPVIG00000023860
anolis_carolinensis ENSACAG00000012359
notechis_scutatus ENSNSUG00000016656
salvator_merianae ENSSMRG00000010908
sphenodon_punctatus ENSSPUG00000001542
choloepus_hoffmanni ENSCHOG00000000735
dasypus_novemcinctus ENSDNOG00000044154
loxodonta_africana ENSLAFG00000006738
procavia_capensis ENSPCAG00000009904
echinops_telfairi ENSETEG00000009090
chinchilla_lanigera ENSCLAG00000009704
octodon_degus ENSODEG00000008234
cavia_porcellus ENSCPOG00000036998
cavia_aperea ENSCAPG00000007587
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000382
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009566
fukomys_damarensis ENSFDAG00000005708
urocitellus_parryii ENSUPAG00010007216
ictidomys_tridecemlineatus ENSSTOG00000008915
marmota_marmota_marmota ENSMMMG00000020574
spermophilus_dauricus ENSSDAG00000005895
castor_canadensis ENSCCNG00000020189
dipodomys_ordii ENSDORG00000005986
mus_spicilegus ENSMSIG00000015574
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016576
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036446
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015757
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031330
rattus_norvegicus ENSRNOG00000004610
meriones_unguiculatus ENSMUGG00000004675
cricetulus_griseus_crigri-picr ENSCGRG00015006990
cricetulus_griseus_crigri_1.0 ENSCGRG00000012109
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024041
mesocricetus_auratus ENSMAUG00000014903
microtus_ochrogaster ENSMOCG00000001159
peromyscus_maniculatus_bairdii ENSPEMG00000019303
nannospalax_galili ENSNGAG00000010684
jaculus_jaculus ENSJJAG00000016615
oryctolagus_cuniculus ENSOCUG00000005592
pan_paniscus ENSPPAG00000027479
pan_troglodytes ENSPTRG00000005289
gorilla_gorilla ENSGGOG00000028361
homo_sapiens ENSG00000139329
pongo_abelii ENSPPYG00000004825
nomascus_leucogenys ENSNLEG00000005594
macaca_mulatta ENSMMUG00000016995
macaca_mulatta ENSMMUG00000047063
macaca_fascicularis ENSMFAG00000036088
macaca_nemestrina ENSMNEG00000029372
papio_anubis ENSPANG00000016364
theropithecus_gelada ENSTGEG00000001224
mandrillus_leucophaeus ENSMLEG00000028378
cercocebus_atys ENSCATG00000028327
chlorocebus_sabaeus ENSCSAG00000003741
rhinopithecus_bieti ENSRBIG00000021434
rhinopithecus_roxellana ENSRROG00000044512
colobus_angolensis_palliatus ENSCANG00000034192
piliocolobus_tephrosceles ENSPTEG00000038208
cebus_capucinus_imitator ENSCCAG00000035308
saimiri_boliviensis_boliviensis ENSSBOG00000030254
callithrix_jacchus ENSCJAG00000039709
aotus_nancymaae ENSANAG00000020478
carlito_syrichta ENSTSYG00000028704
prolemur_simus ENSPSMG00000011955
microcebus_murinus ENSMICG00000000377
otolemur_garnettii ENSOGAG00000025875
vicugna_pacos ENSVPAG00000011183
sus_scrofa ENSSSCG00000000916
bos_mutus ENSBMUG00000026874
bos_taurus ENSBTAG00000001745
bison_bison_bison ENSBBBG00000018550
capra_hircus ENSCHIG00000023831
ovis_aries ENSOARG00000015727
tursiops_truncatus ENSTTRG00000001339
ursus_americanus ENSUAMG00000010917
ursus_maritimus ENSUMAG00000002496
ailuropoda_melanoleuca ENSAMEG00000014674
neovison_vison ENSNVIG00000023923
mustela_putorius_furo ENSMPUG00000007539
canis_lupus_dingo ENSCAFG00020022621
canis_lupus_familiaris ENSCAFG00000006138
vulpes_vulpes ENSVVUG00000011715
panthera_pardus ENSPPRG00000001526
panthera_tigris_altaica ENSPTIG00000009273
felis_catus ENSFCAG00000003764
equus_asinus_asinus ENSEASG00005019333
equus_caballus ENSECAG00000018248
pteropus_vampyrus ENSPVAG00000008953
myotis_lucifugus ENSMLUG00000007704
erinaceus_europaeus ENSEEUG00000001413
phascolarctos_cinereus ENSPCIG00000026073
notamacropus_eugenii ENSMEUG00000010674
monodelphis_domestica ENSMODG00000009667
sarcophilus_harrisii ENSSHAG00000005444
ornithorhynchus_anatinus ENSOANG00000006631
xenopus_tropicalis ENSXETG00000025478
latimeria_chalumnae ENSLACG00000001452
scleropages_formosus ENSSFOG00015023962
paramormyrops_kingsleyae ENSPKIG00000005122
cynoglossus_semilaevis ENSCSEG00000006414
hippocampus_comes ENSHCOG00000012212
takifugu_rubripes ENSTRUG00000025547
tetraodon_nigroviridis ENSTNIG00000001124
mola_mola ENSMMOG00000001757
gasterosteus_aculeatus ENSGACG00000019814
labrus_bergylta ENSLBEG00000017294
xiphophorus_maculatus ENSXMAG00000018604
xiphophorus_couchianus ENSXCOG00000013664
gambusia_affinis ENSGAFG00000015191
poecilia_mexicana ENSPMEG00000020682
poecilia_latipinna ENSPLAG00000009690
poecilia_reticulata ENSPREG00000001725
fundulus_heteroclitus ENSFHEG00000004449
cyprinodon_variegatus ENSCVAG00000011955
kryptolebias_marmoratus ENSKMAG00000009216
oryzias_latipes_asm223469v1 ENSORLG00015012039
oryzias_latipes_asm223467v1 ENSORLG00000015318
oryzias_latipes_asm223471v1 ENSORLG00020013522
oryzias_melastigma ENSOMEG00000006096
amphiprion_ocellaris ENSAOCG00000009459
amphiprion_percula ENSAPEG00000007485
acanthochromis_polyacanthus ENSAPOG00000017948
stegastes_partitus ENSSPAG00000011980
astatotilapia_calliptera ENSACLG00000022489
maylandia_zebra ENSMZEG00005005454
haplochromis_burtoni ENSHBUG00000019397
pundamilia_nyererei ENSPNYG00000001280
neolamprologus_brichardi ENSNBRG00000007027
oreochromis_niloticus ENSONIG00000011451
amphilophus_citrinellus ENSACIG00000003369
periophthalmus_magnuspinnatus ENSPMGG00000003333
mastacembelus_armatus ENSMAMG00000012085
monopterus_albus ENSMALG00000011771
anabas_testudineus ENSATEG00000018779
seriola_dumerili ENSSDUG00000002031
seriola_lalandi_dorsalis ENSSLDG00000020452
scophthalmus_maximus ENSSMAG00000002317
gadus_morhua ENSGMOG00000012684
esox_lucius ENSELUG00000001843
pygocentrus_nattereri ENSPNAG00000029397
astyanax_mexicanus ENSAMXG00000044012
ictalurus_punctatus ENSIPUG00000023446
danio_rerio ENSDARG00000045580
paramormyrops_kingsleyae ENSPKIG00000023693
scleropages_formosus ENSSFOG00015010156
lepisosteus_oculatus ENSLOCG00000016388
astyanax_mexicanus ENSAMXG00000030611
ictalurus_punctatus ENSIPUG00000024044
danio_rerio ENSDARG00000044894
seriola_dumerili ENSSDUG00000002418
seriola_lalandi_dorsalis ENSSLDG00000006383
scophthalmus_maximus ENSSMAG00000005718
mola_mola ENSMMOG00000004581
takifugu_rubripes ENSTRUG00000004773
labrus_bergylta ENSLBEG00000013168
monopterus_albus ENSMALG00000019880
mastacembelus_armatus ENSMAMG00000007819
anabas_testudineus ENSATEG00000024366
astatotilapia_calliptera ENSACLG00000005352
maylandia_zebra ENSMZEG00005001109
haplochromis_burtoni ENSHBUG00000005880
pundamilia_nyererei ENSPNYG00000018506
neolamprologus_brichardi ENSNBRG00000012131
oreochromis_niloticus ENSONIG00000019285
amphilophus_citrinellus ENSACIG00000022939
amphiprion_percula ENSAPEG00000007379
amphiprion_percula ENSAPEG00000018646
acanthochromis_polyacanthus ENSAPOG00000011022
stegastes_partitus ENSSPAG00000011068
xiphophorus_maculatus ENSXMAG00000003727
xiphophorus_couchianus ENSXCOG00000018458
gambusia_affinis ENSGAFG00000004603
poecilia_formosa ENSPFOG00000016536
poecilia_latipinna ENSPLAG00000005340
poecilia_mexicana ENSPMEG00000014581
poecilia_reticulata ENSPREG00000003911
fundulus_heteroclitus ENSFHEG00000000764
kryptolebias_marmoratus ENSKMAG00000014890
oryzias_latipes_asm223471v1 ENSORLG00020015523
oryzias_latipes_asm223469v1 ENSORLG00015010711
