ovis_aries ENSOARG00000010276
bos_taurus ENSBTAG00000007695
tursiops_truncatus ENSTTRG00000013116
sus_scrofa ENSSSCG00000009262
vicugna_pacos ENSVPAG00000004344
equus_caballus ENSECAG00000014318
pteropus_vampyrus ENSPVAG00000012919
neovison_vison ENSNVIG00000016809
canis_lupus_familiaris ENSCAFG00000030389
felis_catus ENSFCAG00000045790
panthera_tigris_altaica ENSPTIG00000008675
peromyscus_maniculatus_bairdii ENSPEMG00000007203
microtus_ochrogaster ENSMOCG00000009437
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000070702
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028355
mus_spicilegus ENSMSIG00000005505
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027358
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017140
rattus_norvegicus ENSRNOG00000055596
cavia_porcellus ENSCPOG00000030416
ochotona_princeps ENSOPRG00000013087
oryctolagus_cuniculus ENSOCUG00000009486
macaca_fascicularis ENSMFAG00000034216
macaca_nemestrina ENSMNEG00000035277
macaca_mulatta ENSMMUG00000047324
mandrillus_leucophaeus ENSMLEG00000031367
theropithecus_gelada ENSTGEG00000017330
papio_anubis ENSPANG00000035030
cercocebus_atys ENSCATG00000033444
chlorocebus_sabaeus ENSCSAG00000004930
rhinopithecus_bieti ENSRBIG00000042501
rhinopithecus_roxellana ENSRROG00000037818
piliocolobus_tephrosceles ENSPTEG00000008258
colobus_angolensis_palliatus ENSCANG00000026874
pan_paniscus ENSPPAG00000034320
pan_troglodytes ENSPTRG00000016119
homo_sapiens ENSG00000126545
gorilla_gorilla ENSGGOG00000015160
pongo_abelii ENSPPYG00000014792
nomascus_leucogenys ENSNLEG00000007655
saimiri_boliviensis_boliviensis ENSSBOG00000025436
aotus_nancymaae ENSANAG00000032166
cebus_capucinus_imitator ENSCCAG00000027536
prolemur_simus ENSPSMG00000015192
choloepus_hoffmanni ENSCHOG00000012048
procavia_capensis ENSPCAG00000004182
