mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055838
mus_spicilegus ENSMSIG00000001324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024426
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023506
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024961
rattus_norvegicus ENSRNOG00000007965
meriones_unguiculatus ENSMUGG00000002711
peromyscus_maniculatus_bairdii ENSPEMG00000018345
jaculus_jaculus ENSJJAG00000007797
spermophilus_dauricus ENSSDAG00000014104
ictidomys_tridecemlineatus ENSSTOG00000011890
marmota_marmota_marmota ENSMMMG00000018554
cavia_aperea ENSCAPG00000002428
oryctolagus_cuniculus ENSOCUG00000013845
ochotona_princeps ENSOPRG00000007987
tupaia_belangeri ENSTBEG00000004495
prolemur_simus ENSPSMG00000000044
otolemur_garnettii ENSOGAG00000006448
pan_troglodytes ENSPTRG00000021332
pan_paniscus ENSPPAG00000003934
homo_sapiens ENSG00000165202
gorilla_gorilla ENSGGOG00000005228
pongo_abelii ENSPPYG00000020060
theropithecus_gelada ENSTGEG00000025261
callithrix_jacchus ENSCJAG00000040823
ursus_americanus ENSUAMG00000026072
ursus_maritimus ENSUMAG00000003345
ailuropoda_melanoleuca ENSAMEG00000018970
neovison_vison ENSNVIG00000010768
pteropus_vampyrus ENSPVAG00000002433
bos_mutus ENSBMUG00000018610
bos_taurus ENSBTAG00000046221
capra_hircus ENSCHIG00000012780
ovis_aries ENSOARG00000019258
vicugna_pacos ENSVPAG00000005922
sus_scrofa ENSSSCG00000040844
equus_caballus ENSECAG00000005712
equus_asinus_asinus ENSEASG00005021018
erinaceus_europaeus ENSEEUG00000006898
sorex_araneus ENSSARG00000005619
dasypus_novemcinctus ENSDNOG00000003243
choloepus_hoffmanni ENSCHOG00000000579
loxodonta_africana ENSLAFG00000011898
procavia_capensis ENSPCAG00000006310
sarcophilus_harrisii ENSSHAG00000003216
monodelphis_domestica ENSMODG00000023548
