mastacembelus_armatus ENSMAMG00000011623
monopterus_albus ENSMALG00000006710
anabas_testudineus ENSATEG00000003676
acanthochromis_polyacanthus ENSAPOG00000009182
stegastes_partitus ENSSPAG00000008605
cynoglossus_semilaevis ENSCSEG00000014903
esox_lucius ENSELUG00000014857
ictalurus_punctatus ENSIPUG00000024163
panthera_tigris_altaica ENSPTIG00000018035
panthera_pardus ENSPPRG00000023589
neovison_vison ENSNVIG00000015646
bison_bison_bison ENSBBBG00000000660
bos_mutus ENSBMUG00000024441
gorilla_gorilla ENSGGOG00000036373
homo_sapiens ENSG00000226690
pan_troglodytes ENSPTRG00000051820
pan_paniscus ENSPPAG00000013831
nomascus_leucogenys ENSNLEG00000035206
rhinopithecus_bieti ENSRBIG00000029478
rhinopithecus_roxellana ENSRROG00000041444
colobus_angolensis_palliatus ENSCANG00000029698
piliocolobus_tephrosceles ENSPTEG00000034348
macaca_fascicularis ENSMFAG00000036671
macaca_nemestrina ENSMNEG00000044560
papio_anubis ENSPANG00000033761
cercocebus_atys ENSCATG00000034921
mandrillus_leucophaeus ENSMLEG00000040781
saimiri_boliviensis_boliviensis ENSSBOG00000025171
cebus_capucinus_imitator ENSCCAG00000035440
callithrix_jacchus ENSCJAG00000038392
aotus_nancymaae ENSANAG00000000032
carlito_syrichta ENSTSYG00000036773
propithecus_coquereli ENSPCOG00000021736
prolemur_simus ENSPSMG00000017510
microcebus_murinus ENSMICG00000039717
