heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019563
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003156
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006079
phascolarctos_cinereus ENSPCIG00000036398
melopsittacus_undulatus ENSMUNG00000007775
melopsittacus_undulatus ENSMUNG00000002377
melopsittacus_undulatus ENSMUNG00000002391
acanthochromis_polyacanthus ENSAPOG00000016134
acanthochromis_polyacanthus ENSAPOG00000023408
amphiprion_ocellaris ENSAOCG00000015695
pundamilia_nyererei ENSPNYG00000024266
xiphophorus_maculatus ENSXMAG00000026005
