rhinopithecus_roxellana ENSRROG00000043542
piliocolobus_tephrosceles ENSPTEG00000020996
mandrillus_leucophaeus ENSMLEG00000040956
cercocebus_atys ENSCATG00000038349
papio_anubis ENSPANG00000025188
macaca_nemestrina ENSMNEG00000029318
macaca_fascicularis ENSMFAG00000043887
macaca_mulatta ENSMMUG00000003108
chlorocebus_sabaeus ENSCSAG00000011820
homo_sapiens ENSG00000095917
pan_paniscus ENSPPAG00000040532
gorilla_gorilla ENSGGOG00000014066
pongo_abelii ENSPPYG00000007748
aotus_nancymaae ENSANAG00000019912
bison_bison_bison ENSBBBG00000025246
