nothoprocta_perdicaria ENSNPEG00000010650
dromaius_novaehollandiae ENSDNVG00000015679
taeniopygia_guttata ENSTGUG00000004489
lonchura_striata_domestica ENSLSDG00000018197
parus_major ENSPMJG00000015351
junco_hyemalis ENSJHYG00000013915
lepidothrix_coronata ENSLCOG00000011323
ficedula_albicollis ENSFALG00000012669
gallus_gallus ENSGALG00000049951
coturnix_japonica ENSCJPG00005009686
numida_meleagris ENSNMEG00000017084
notechis_scutatus ENSNSUG00000008830
phascolarctos_cinereus ENSPCIG00000036027
notamacropus_eugenii ENSMEUG00000016444
sarcophilus_harrisii ENSSHAG00000005998
monodelphis_domestica ENSMODG00000000012
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012068
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004870
fukomys_damarensis ENSFDAG00000015480
chinchilla_lanigera ENSCLAG00000013486
cavia_porcellus ENSCPOG00000008188
cavia_aperea ENSCAPG00000014390
ictidomys_tridecemlineatus ENSSTOG00000006388
urocitellus_parryii ENSUPAG00010003201
marmota_marmota_marmota ENSMMMG00000005722
oryctolagus_cuniculus ENSOCUG00000016744
ochotona_princeps ENSOPRG00000004940
tupaia_belangeri ENSTBEG00000005375
prolemur_simus ENSPSMG00000006568
microcebus_murinus ENSMICG00000004214
propithecus_coquereli ENSPCOG00000021843
otolemur_garnettii ENSOGAG00000009388
gorilla_gorilla ENSGGOG00000023784
homo_sapiens ENSG00000107742
pan_troglodytes ENSPTRG00000002608
pan_paniscus ENSPPAG00000037477
pongo_abelii ENSPPYG00000029592
nomascus_leucogenys ENSNLEG00000016379
piliocolobus_tephrosceles ENSPTEG00000033735
colobus_angolensis_palliatus ENSCANG00000043061
rhinopithecus_roxellana ENSRROG00000033157
rhinopithecus_bieti ENSRBIG00000037133
macaca_fascicularis ENSMFAG00000038445
macaca_mulatta ENSMMUG00000002122
macaca_nemestrina ENSMNEG00000044340
chlorocebus_sabaeus ENSCSAG00000008495
papio_anubis ENSPANG00000022317
theropithecus_gelada ENSTGEG00000028731
cercocebus_atys ENSCATG00000014283
mandrillus_leucophaeus ENSMLEG00000007328
saimiri_boliviensis_boliviensis ENSSBOG00000032449
cebus_capucinus_imitator ENSCCAG00000000519
callithrix_jacchus ENSCJAG00000007252
aotus_nancymaae ENSANAG00000036693
carlito_syrichta ENSTSYG00000033876
sorex_araneus ENSSARG00000006818
castor_canadensis ENSCCNG00000031025
dipodomys_ordii ENSDORG00000007255
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016163
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058297
mus_spicilegus ENSMSIG00000010244
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015352
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030768
rattus_norvegicus ENSRNOG00000061544
meriones_unguiculatus ENSMUGG00000012318
microtus_ochrogaster ENSMOCG00000012358
peromyscus_maniculatus_bairdii ENSPEMG00000008616
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018408
cricetulus_griseus_crigri_1.0 ENSCGRG00000018072
cricetulus_griseus_crigri-picr ENSCGRG00015008728
mesocricetus_auratus ENSMAUG00000010578
nannospalax_galili ENSNGAG00000001291
jaculus_jaculus ENSJJAG00000010222
tursiops_truncatus ENSTTRG00000009728
sus_scrofa ENSSSCG00000010283
bos_taurus ENSBTAG00000008827
bos_mutus ENSBMUG00000017481
bison_bison_bison ENSBBBG00000020922
capra_hircus ENSCHIG00000011768
ovis_aries ENSOARG00000007029
neovison_vison ENSNVIG00000010272
mustela_putorius_furo ENSMPUG00000004098
ailuropoda_melanoleuca ENSAMEG00000017406
canis_lupus_familiaris ENSCAFG00000014413
canis_lupus_dingo ENSCAFG00020025092
felis_catus ENSFCAG00000013054
panthera_pardus ENSPPRG00000011863
ursus_americanus ENSUAMG00000009171
ursus_maritimus ENSUMAG00000008903
