gorilla_gorilla ENSGGOG00000008915
propithecus_coquereli ENSPCOG00000027094
microtus_ochrogaster ENSMOCG00000017192
canis_lupus_familiaris ENSCAFG00000030986
canis_lupus_dingo ENSCAFG00020026220
gallus_gallus ENSGALG00000033647
pygocentrus_nattereri ENSPNAG00000005544
astyanax_mexicanus ENSAMXG00000002816
ictalurus_punctatus ENSIPUG00000001305
danio_rerio ENSDARG00000099745
xiphophorus_couchianus ENSXCOG00000005482
gambusia_affinis ENSGAFG00000011261
cyprinodon_variegatus ENSCVAG00000000639
oryzias_latipes_asm223469v1 ENSORLG00015021085
oryzias_latipes_asm223471v1 ENSORLG00020001266
acanthochromis_polyacanthus ENSAPOG00000000511
tetraodon_nigroviridis ENSTNIG00000002591
cynoglossus_semilaevis ENSCSEG00000011841
scleropages_formosus ENSSFOG00015014035
